"id","UniqueID","Gene.Name","Protein.ID","GeneType"
138,"ACAD10","ACAD10","","protein_coding"
139,"ACAD11","ACAD11","","protein_coding"
140,"ACAD8","ACAD8","","protein_coding"
141,"ACAD9","ACAD9","","protein_coding"
142,"ACADL","ACADL","","protein_coding"
143,"ACADM","ACADM","","protein_coding"
144,"ACADS","ACADS","","protein_coding"
145,"ACADSB","ACADSB","","protein_coding"
146,"ACADVL","ACADVL","","protein_coding"
147,"ACAN","ACAN","","protein_coding"
148,"ACAP1","ACAP1","","protein_coding"
149,"ACAP2","ACAP2","","protein_coding"
150,"ACAP3","ACAP3","","protein_coding"
151,"ACAT1","ACAT1","","protein_coding"
152,"ACAT2","ACAT2","","protein_coding"
153,"ACBD3","ACBD3","","protein_coding"
154,"ACBD3-AS1","ACBD3-AS1","","protein_coding"
155,"ACBD4","ACBD4","","protein_coding"
156,"ACBD5","ACBD5","","protein_coding"
157,"ACBD6","ACBD6","","protein_coding"
158,"ACBD7","ACBD7","","protein_coding"
159,"ACBD7-DCLRE1CP1","ACBD7-DCLRE1CP1","","protein_coding"
160,"ACCS","ACCS","","protein_coding"
161,"ACCSL","ACCSL","","protein_coding"
162,"ACD","ACD","","protein_coding"
163,"ACE","ACE","","protein_coding"
164,"ACE2","ACE2","","protein_coding"
165,"ACER1","ACER1","","protein_coding"
166,"ACER2","ACER2","","protein_coding"
167,"ACER3","ACER3","","protein_coding"
168,"ACHE","ACHE","","protein_coding"
169,"ACIN1","ACIN1","","protein_coding"
170,"ACKR1","ACKR1","","protein_coding"
171,"ACKR2","ACKR2","","protein_coding"
172,"ACKR3","ACKR3","","protein_coding"
173,"ACKR4","ACKR4","","protein_coding"
174,"ACLY","ACLY","","protein_coding"
175,"ACMSD","ACMSD","","protein_coding"
176,"ACO1","ACO1","","protein_coding"
177,"ACO2","ACO2","","protein_coding"
178,"ACOD1","ACOD1","","protein_coding"
179,"ACOT1","ACOT1","","protein_coding"
180,"ACOT11","ACOT11","","protein_coding"
181,"ACOT12","ACOT12","","protein_coding"
182,"ACOT13","ACOT13","","protein_coding"
183,"ACOT2","ACOT2","","protein_coding"
184,"ACOT4","ACOT4","","protein_coding"
185,"ACOT6","ACOT6","","protein_coding"
186,"ACOT7","ACOT7","","protein_coding"
187,"ACOT8","ACOT8","","protein_coding"
188,"ACOT9","ACOT9","","protein_coding"
189,"ACOX1","ACOX1","","protein_coding"
190,"ACOX2","ACOX2","","protein_coding"
191,"ACOX3","ACOX3","","protein_coding"
192,"ACOXL","ACOXL","","protein_coding"
193,"ACOXL-AS1","ACOXL-AS1","","protein_coding"
194,"ACP1","ACP1","","protein_coding"
195,"ACP2","ACP2","","protein_coding"
196,"ACP4","ACP4","","protein_coding"
197,"ACP5","ACP5","","protein_coding"
198,"ACP6","ACP6","","protein_coding"
199,"ACP7","ACP7","","protein_coding"
200,"ACPP","ACPP","","protein_coding"
201,"ACR","ACR","","protein_coding"
202,"ACRBP","ACRBP","","protein_coding"
203,"ACRV1","ACRV1","","protein_coding"
204,"ACSBG1","ACSBG1","","protein_coding"
205,"ACSBG2","ACSBG2","","protein_coding"
206,"ACSF2","ACSF2","","protein_coding"
207,"ACSF3","ACSF3","","protein_coding"
208,"ACSL1","ACSL1","","protein_coding"
209,"ACSL3","ACSL3","","protein_coding"
210,"ACSL4","ACSL4","","protein_coding"
211,"ACSL5","ACSL5","","protein_coding"
212,"ACSL6","ACSL6","","protein_coding"
213,"ACSM1","ACSM1","","protein_coding"
214,"ACSM2A","ACSM2A","","protein_coding"
215,"ACSM2B","ACSM2B","","protein_coding"
216,"ACSM3","ACSM3","","protein_coding"
217,"ACSM4","ACSM4","","protein_coding"
218,"ACSM5","ACSM5","","protein_coding"
219,"ACSM6","ACSM6","","protein_coding"
220,"ACSS1","ACSS1","","protein_coding"
221,"ACSS2","ACSS2","","protein_coding"
222,"ACSS3","ACSS3","","protein_coding"
223,"ACTA1","ACTA1","","protein_coding"
224,"ACTA2","ACTA2","","protein_coding"
225,"ACTA2-AS1","ACTA2-AS1","","protein_coding"
226,"ACTB","ACTB","","protein_coding"
227,"ACTBL2","ACTBL2","","protein_coding"
228,"ACTC1","ACTC1","","protein_coding"
229,"ACTG1","ACTG1","","protein_coding"
230,"ACTG1P17","ACTG1P17","","protein_coding"
231,"ACTG1P20","ACTG1P20","","protein_coding"
232,"ACTG1P4","ACTG1P4","","protein_coding"
233,"ACTG2","ACTG2","","protein_coding"
234,"ACTL10","ACTL10","","protein_coding"
235,"ACTL6A","ACTL6A","","protein_coding"
236,"ACTL6B","ACTL6B","","protein_coding"
237,"ACTL7A","ACTL7A","","protein_coding"
238,"ACTL7B","ACTL7B","","protein_coding"
239,"ACTL8","ACTL8","","protein_coding"
240,"ACTL9","ACTL9","","protein_coding"
