"","PS.rep1","PS.rep2","ART.rep1","ART.rep2","RS.rep2","RS.rep3"
"AGPAT3",26.36124,15.92793,14.134002,41.46049,21.2594,16.26327
"AGPAT4",7.73517,6.89708,5.92423,4.0392,4.22665,4.80711
"AGPAT4-IT1",0.564121,1.27653,0.909822,0.360123,0.811614,0.368553
"AGPAT5",89.3858,38.2739,39.8491,105.708,50.8418,36.3808
"AGPS",12.458,16.7881,17.099,22.6744,21.5312,17.8441
"AGR2",6.09238,0.730404,0.485936,8.53727,1.78071,0.678013
"AGR3",0,0.435277,1.46416,0,0.139007,0
"AGRN",1.86495,3.37678,4.72694000067884,3.521809,2.949942,9.277277
"AGRP",0.475127,0.141767,0.440179,0.32647,0.407113,0
"AGT",2.7235,0.854337,0.331453,12.5155,3.71245,4.61087
"AGTPBP1",35.684796,37.481296,41.457261,86.17714556016,73.334138,55.848255
"AGTR1",0.337225,0.267928,0,0.491567,0.544068,1.307821084
"AGTR2",0,0,0,0,0.0586225,0
"AGTRAP",5.41675,2.43831,2.34928,10.18826991,3.47525,4.507059
"AGXT",0,0.11982,0,0.0844481,0,0
"AGXT2",0,0,0,0.023205,0.138112,0
"AHCTF1",376.59336,386.8833301,367.174940140333,162.323960000673,185.982132,164.27588
"AHCTF1P1",15.6472,22.7617,35.2857,5.93361,9.65491,11.069
"AHCY",160.9123,89.1935,92.49597,162.33802,96.69871,92.54309
"AHCYL1",22.450843453091,16.85621,14.3569288,39.166844,19.71338,12.427595
"AHCYL2",10.186309,8.65245,10.676754,15.029116,10.022334,9.583057
"AHDC1",0.680627,1.21677,1.29894,2.2164,1.20557,1.83466
"AHI1",60.701125,75.2717,79.75919,97.774967,93.417806,77.491769
"AHNAK",3.03877810106,11.431854,9.33477,15.294963,33.899328058103,24.06656
"AHNAK2",0.6309985642,1.521596124,2.68487,4.260472,6.88114000024069,5.37692545
"AHR",1.41865,4.35184,4.22147,4.40855,5.1257,6.22732
"AHRR",7.153029,10.51201,7.9314195,7.36328,10.7098,9.34433
"AHSA1",116.5388,104.0699,107.7814,84.7948,77.84112,71.041
"AHSA2",27.727615,22.479558,25.331979,17.121945,13.610076,11.81858
"AHSG",1.62893,0.41111,0.911527,4.20736,1.48558,2.401251
"AHSP",23.73425,11.69731,8.62453,13.4495,11.667476,7.4852
"AICDA",0.2015420802304,2.70655582458,1.708280970138,0.4687330802934,1.7208728509,1.71939140058
"AIDA",126.618,36.8807,35.5111,78.3103,25.1568,20.7814
"AIF1",0,1.41883,0,0.685954,4.104537,1.50356
"AIF1L",2.360380655295,3.47786,2.98463,4.36515000013928,5.283179,6.26435
"AIFM1",2.91413283,5.52798,9.14016,5.929339,6.57933,9.94676
"AIFM2",5.668496054,6.735466696,9.05916,5.35990298,6.17427,8.02708
"AIFM3",0.199738,0.402903,0,0.161621,0.7731714834,1.19323
"AIG1",3.128134,4.4409413,7.962338,6.61187,6.997738,9.05738
"AIM2",2.12168,1.69876,3.440291,10.05819,10.5036,4.50569
"AIMP1",18.742897,26.0792581,26.458407,17.496052,25.18792,20.86181
"AIMP2",181.205304,129.7488,86.5861,127.70611,114.84207,87.254498
"AIP",24.77431,38.50352,38.4796,13.982667,35.43462,33.82389
"AIPL1",0.320855013379749,1.0273144,0.43525593,0.774488,1.810849,1.2024164
"AIRE",0.111584,1.15668,1.64449,0.272148,0.843634,0.948889
"AIRN",0,1.101644,0.0318055,0.116648,0.6080788,0.6781553
"AJAP1",0.398381,1.413784,3.62798,2.844472,4.25778,4.334994
"AJM1",0.965758,2.21719,2.7257,2.23518,0.990295,1.79298
"AJUBA",21.57575,13.78837,16.06843,8.77676,7.59763,8.82278
"AK1",11.899187959,10.355718,12.62646,43.11034,49.265089,40.825836
"AK2",35.47255438,57.951878,55.8234040211941,26.597284,39.334781,44.993554
"AK3",2.03943,4.10489200110655,2.82388,6.627102,5.48944016800215,4.39384
"AK4",2.200076,2.531301,2.40408000012826,3.07107996,2.089136,2.91293
"AK5",0.794714,1.608943,3.32289,1.67907,2.88932,3.33059
"AK6",41.83735,46.7878,52.9821,57.09589,68.8511,44.6217
"AK7",17.884363,51.597384,43.5693182547,23.778825,37.914891,30.12844
"AK8",49.316622,22.36966,6.4087,86.96479,27.689183,16.6559
"AK9",48.885124,104.65227767038,119.69437,25.823784,62.12505,62.810934
"AKAIN1",0.377106,0.161086,0.134589,0.191569,0.403093,0.2578742
"AKAP1",82.12815,31.9091,70.2418363816,374.56833,213.7623,186.17270234827
"AKAP10",39.836609,45.64887,43.68866,34.5842,39.768662,33.23593
"AKAP11",56.267,109.534,102.9,32.7062,54.1086,47.0387
"AKAP12",550.336,743.087,713.861,188.0916,335.654,245.075
"AKAP13",9.115383,18.59959762752,28.0794564098,38.81333,49.57761,46.58848
"AKAP14",25.83279,17.83307,36.58866,131.3851,143.51676,125.21172
"AKAP17A",4.59863,10.55334,14.588859,17.32991,31.32044,27.25035
"AKAP2",3.40173,2.882861,3.50608,11.356123,5.758292425,6.88806
"AKAP3",340.2383,169.15,209.5118,931.139,498.891,328.3004
"AKAP4",192.1661,56.039,188.1914,999.395,449.177,520.375
"AKAP5",0.268518,1.21732,1.61418,0.736367,1.66139,2.55057
"AKAP6",11.655,15.7298,14.564,34.5601,22.4596,14.5669
"AKAP7",1.3467988,4.35612,8.86032,3.9793884,7.00328,10.2393
"AKAP8",10.8562,20.4987,23.2153,10.9173,16.366,15.4328
"AKAP8L",30.30523,57.58233,67.42371,70.91863,99.5075,103.42031
"AKAP9",7.26645,17.47207,31.39086,16.47186,26.18448,31.5471
"AKIP1",22.3386314262,20.08123616522,16.523773,26.723690231,20.2383040013263,15.438110336515
"AKIRIN1",53.38289,30.901787,34.1651,211.300181,58.535299,52.3606
"AKIRIN2",27.5333,11.6282,6.45602,23.1503,9.04657,7.80384
"AKNA",3.09149183303,2.68292,3.55069926246,16.712527,11.70784,12.74767
"AKNAD1",7.18738,5.59022,9.132361,34.69853,26.47972,30.01105
"AKR1A1",3.79275,3.64946,2.16588,7.225944,4.79213,5.31283
"AKR1B1",7.140955,6.722908,4.93895,14.949913,6.65868,7.20682
"AKR1B10",0.436601,0.500618,1.87723,0.835749,0.156717,0.258983
"AKR1B15",1.98189,5.64575,8.39746,2.40466,4.29759,6.24041
"AKR1C1",1.90017,3.19274,3.64721,12.8934,13.7985,10.1987
"AKR1C2",0.2087822369,4.036697,1.72123,2.7891765,5.301503,7.99473200112788
"AKR1C3",3.92597,2.299744,1.675063,14.67368,6.36496,8.93141
"AKR1C4",2.49633,1.1669,2.36847,2.82105,2.04355,1.42621
"AKR1C6P",1.04153,1.40906,3.40296,2.16913,1.51488,3.26237
"AKR1C8P",0,0.127964,0,0.0402469,0.119377,0.580733
"AKR1D1",3.10689,2.2222000156495,0.389928,12.589337,6.2239402716,2.384222
"AKR1E2",85.28727,69.30447,49.1367500038258,104.03514,80.400694,61.59506
"AKR7A2",23.754699,28.5086,11.732,14.055,20.5994,11.657483
"AKR7A2P1",0.204748,3.77114,1.43469,0.761846,3.54726,3.34049
"AKR7A3",1.20126,1.78746,3.89959,1.46519,1.57932,1.13442
"AKR7L",1.304184,2.90325,1.82709,0.752765,2.67222,2.27365
"AKT1",2.99837,7.478648,5.22794,7.152724,6.828218,6.456797
"AKT1S1",5.598387,9.0521,8.40222,5.090579,5.1192,6.903751
"AKT2",10.256901,9.86512,8.76037,10.2125980982,6.00943121162,8.081284
"AKT3",12.65036,171.86889,414.22202,37.37152,238.50071,475.8461
"AKTIP",20.55391,20.38863,21.69858,36.9244,28.299902,19.92315
"ALAD",4.89866,5.76363,6.93526,3.716432,4.27328,5.06069
"ALAS1",9.21463,18.184621,13.9114030765,11.5580052,13.42481,13.49514
"ALAS2",0,0,0.876243,0.138761,0.0917567,0.118133
"ALB",0.13107,0.515607,1.0156,0.468119,0.369712,0.539614
"ALCAM",3.96974,1.878712,4.39349,18.9109379,7.136524,12.0292704
"ALDH16A1",2.10267,1.00272,1.18225,2.42683,1.00862804,2.677721
"ALDH18A1",4.8832472987149,9.3673796,13.8729,6.1041219903,8.129503706,15.096478
"ALDH1A1",3.52723,19.8,15.4243,22.4783,28.7543,18.5314
"ALDH1A2",405.646084,242.16443,184.00845,351.539490005907,208.4682,137.37509
"ALDH1A3",0.737915,3.9293100129939,2.14431,4.286792,14.4952,7.07827
"ALDH1B1",0.57595,2.75997,4.13125,1.5475,2.71763,3.06713
"ALDH1L1",2.349364,3.893772,4.20435,10.42362,10.1028100079641,8.86477
"ALDH1L1-AS1",0.346609,0,0,0.404872,0,0.772895
"ALDH1L1-AS2",0.615064,1.03692,2.47568,1.90157,4.34982,7.43718
"ALDH1L2",2.752784,4.81874,5.77667,3.536565,4.97887,3.41231
"ALDH2",2.07666,2.45059,2.074319,5.7774578039,3.85569,3.30204
"ALDH3A1",0.360857,0.593751,0.8292325,0.920755,1.2997,1.28888
"ALDH3A2",5.58072,5.2314,5.33485,19.72233,9.93903,9.59859
"ALDH3B1",1.1928,1.65157687284,1.87740260878,2.95132908,2.3606838,1.92543
"ALDH3B2",0.0202645,0.184047,0,0.0347794,0,0
"ALDH4A1",0.644931,0.35132,0.5890931,1.3535148,0.784007,0.655957
"ALDH5A1",2.12049,3.996391,2.0710860367,2.187642,3.504935,3.53812
"ALDH6A1",2.40461602651,7.63025,5.6267,7.821319,7.2801783,7.1755600985659
"ALDH7A1",1.174046,2.43292,3.22683,4.84263,5.28116,5.0762974
"ALDH8A1",0.353490197,2.512047,1.90734529,0.900663,1.58921,2.130552
"ALDH9A1",119.218,111.723,93.6705,91.4677,77.1054,70.3044
"ALDOA",89.268056,50.735498,44.6978742,199.978113,107.002654664,97.701658
"ALDOB",0.104823,0.190366,1.21125,0.143851,0.390229,0.182755
