"","PS.rep1","PS.rep2","ART.rep1","ART.rep2","RS.rep2","RS.rep3"
"ELP6",40.9246,55.5282,33.4309,14.5504,26.071,19.3245
"ELSPBP1",0.425031,0.286812,0.81628,2.71739,1.53761,1.08524
"EMB",0.203555,1.69132,1.5896,0.631808,0.977219,2.02628
"EMBP1",0.0488592,0.503978,0.124811,0,0.106116,0.335553
"EMC1",16.503931,18.391343,19.52732109739,11.625448,13.197228,17.61266101316
"EMC10",7.87407,10.41541,12.43328,20.04142,16.83569,23.11187
"EMC2",106.233256,161.73862,180.371635,65.9672,131.764019,132.5484
"EMC3",314.0008,170.6116,149.8918,191.6415,134.7323,103.7668
"EMC3-AS1",2.3842,7.2299,5.75394,1.82826,3.68568,3.78899
"EMC4",135.85144,91.33516,95.816709,157.66803,104.3079,82.91809
"EMC6",54.97451,57.54408,53.725,53.471439,60.83757,43.2956
"EMC7",198.016,132.911,151.796,143.033,112.559,57.4421
"EMC8",7.96437,9.27701,10.4642,21.4332154,29.5723,25.9582
"EMC9",15.925979,9.24709,13.161022,36.22785,21.29858,14.78118
"EMCN",1.73599,3.056060942141,3.56498,2.25798,3.23567,3.58104
"EMD",8.12546,3.7964,1.52984,22.8103,3.91341,4.53403
"EME1",13.73157,27.07538,21.92859,6.05891,12.87206,12.712974
"EME2",1.16883,4.03639,1.77076,2.29384,3.89355,5.39721
"EMG1",17.338839,27.38801,29.091,11.95391,16.79086,29.9133
"EMID1",0.19539817,0.7089913,0.5845532,0.35526518,0.6617034,2.165641
"EMILIN1",0.54079,1.23633,2.43362,6.88008,7.67056,11.9187
"EMILIN2",2.39093,3.38809,5.46635,3.35041,5.24693,5.34785
"EMILIN3",0.142312,0.700146,0.146173,1.16617,1.21044,1.41498
"EML1",5.19253,5.74091,6.136240254232,23.0193,12.90942,12.72912
"EML2",2.9916785,2.09257407,4.67642955,14.5251527,7.130032837,8.89433
"EML2-AS1",4.06649,1.89384,0.910397,15.10581,8.19113,5.90197
"EML3",1.25744,2.20387544,2.31578,4.55594,3.493824,4.128297
"EML4",48.7733,33.77919,40.5209,74.945,40.23041,31.72559
"EML5",3.48123,15.4942,20.3981,4.592,16.5874,19.2038
"EML6",3.20967,7.13476,8.48166,4.30433,6.63257,8.14723
"EMP1",27.4043,9.59667,6.23051,39.6551,13.2418,13.9795
"EMP2",3.70034,7.60931,8.94996,8.28723,9.94003,7.90736
"EMP3",5.33511,3.33135,2.495542,11.13243,5.85231,1.98769
"EMSY",19.90312428,21.1443082024,9.64769190753669,9.799213106,10.517514442,8.874514
"EMX1",0.796777,1.06322,1.74904,0.381229,0.317388,1.36236
"EMX2",0.69980656887,2.53812,3.60054,1.782532,2.76568,3.811701
"EMX2OS",0.410005119757,2.59073450028,2.217470886897,0.8268710872073,3.31384443663,2.33989
"EN1",68.2176,1.06137,1.86348,24.9492,1.31712,0.985648
"EN2",1.12954,0.800666,0,1.16276,0.694222,0.574976
"ENAH",3.4124215,6.885183,10.2005,16.24914,16.653124,19.62713
"ENAM",0.111768,0.125355,0.316081,1.49539,0.580591,0.324248
"ENC1",1.607718,1.353737344979,0.692883,10.086973021,3.20252454,1.7611846
"ENDOD1",0.596302,3.43012,3.54837,2.03412,4.08123,5.61603
"ENDOG",24.0014,43.3145,20.9279,11.2244,18.1538,10.3435
"ENDOU",0.206626,0.314206,0.0317214,0.328007,0.381193,0.196359
"ENDOV",34.6658700166824,20.467802,23.38450762,31.193447,15.662286,10.946724
"ENG",6.40868,3.654503,2.1520876,55.87416,11.305934,18.1507
"ENGASE",0.470535,0.837062,0.974165,1.90008,2.84624,2.44516
"ENHO",2.54896,4.02641,1.74432,1.87699,2.3906,5.38801
"ENKD1",15.046575,33.219975,17.767,9.03363,14.11537,16.9249
"ENKUR",24.6718368,18.33133,19.84929,59.680555,43.447189,30.08751
"ENO1",358.23802,268.247317,210.9538548,323.693691,235.72485,164.569069
"ENO1-AS1",86.5994,27.9748,9.37916,22.5835,13.3513,5.67916
"ENO2",7.43132,2.78342,3.90532,10.767,4.40483,3.84298
"ENO3",2.31162,2.191625,3.48048,3.78242,2.9277,5.854972
"ENO4",9.61817,8.63329,9.808,10.6329,9.18117,7.3156
"ENOPH1",1.71926,5.251339,4.546961,3.265780014072,7.50283,8.882594
"ENOSF1",2.778482565544,8.295362,6.98090804216248,3.65695285520321,7.477483,8.2225419
"ENOX1",11.829843102407,9.60701061078808,15.032179,46.17858701,40.5890280136052,32.6306597515
"ENOX1-AS2",0.0863769,0.308803,1.67801,0,0.148285,1.52172
"ENOX2",0.829911,3.172903,3.872215,2.513485,3.890169,3.54303
"ENPEP",0.529574,0.964835,0.124762,0.525693,0.728651,1.0813
"ENPP1",6.47103,5.04681,4.22093,11.1986,5.76443,5.94726
"ENPP2",24.673164,8.222829,12.62238,118.19679,33.97108,22.442803
"ENPP3",1.56824,2.3606,2.8516,0.864737,1.968023,1.43195
"ENPP4",5.27726,3.6693,4.70027,17.48,7.28237,9.40735
"ENPP5",0.888380000155155,2.928416,5.354190478328,3.391029,2.106917,2.401640011931
"ENPP6",1.02884,1.3731,2.54719,5.30119,3.40345,4.47828
"ENPP7",0.027994,0,0,0,0,0
"ENPP7P13",0.6109960283073,1.48577000186833,1.73947,1.13478723,1.14947000100363,2.55323000065399
"ENSA",96.0796565713788,83.8945193,80.7564830009306,59.386778055574,55.43269,54.26577
"ENTHD1",38.7531,40.8139,21.3748,18.9911,17.6075,12.388
"ENTPD1",2.85700451309554,12.972767844139,14.8855160029367,11.229126,15.3475399901879,14.9345039595858
"ENTPD1-AS1",82.56805,24.44534,16.871451,36.4699557,11.573418,7.055139
"ENTPD2",0.203276,0.368695,0.536435,1.17391,1.50615,0.517143
"ENTPD3",0.523922600195635,2.754174,1.832999,0.537380000298653,1.641851,0.88210900622148
"ENTPD3-AS1",6.55694,11.2468,11.9926,2.97706,6.28602,7.54598
"ENTPD4",21.85501,22.6582,25.25791,16.8535,15.89089,18.15056
"ENTPD5",10.823017,13.619067,8.378432,20.672287,16.605141,11.959324
"ENTPD6",3.24648750527,3.5766040542527,3.269608,12.243570472806,6.7929343,5.953189
"ENTPD7",2.386388,4.037121,3.436217757,4.477003,3.400855,3.837133
"ENTPD8",0,0.397823,0.548797,0.157904,0.206265,0.602883
"ENY2",27.7421,19.76999,19.99191,34.35055,25.21409,17.46519
"EOGT",9.81836,7.140088,10.8015,21.582872,10.8936,12.674014
"EOMES",0,0,0,0.147779,0.0970223,0.249937
"EP300",12.3455,24.0181,25.7738,25.5496,23.385,26.2687
"EP300-AS1",5.44714,23.3366,17.8951,6.94277,17.2071,13.5002
"EP400",44.1458,32.4879,27.5972,28.0331,20.4363,15.7754
"EP400NL",16.4447,17.7825,22.0843,7.74344,14.4097,9.82055
"EPAS1",9.8976,8.40449,4.84695,13.6213,9.97943,9.34335
"EPB41",5.7553719,13.123444,18.2843888626,26.800786,32.985472,32.957363
"EPB41L1",6.77169081,7.063031,4.87374663,9.78183000096364,4.420007,5.60774534
"EPB41L2",47.6268999629116,52.2597070063667,77.8464579832,218.606809,203.309574007612,148.95166032567
"EPB41L3",30.875424,28.509606,58.41809,153.565668,151.35877,140.6629197
"EPB41L4A",4.110907,8.390828583,9.995922,7.477335,9.3750838,13.22836
"EPB41L4A-AS1",16.702,40.1808,38.2236,22.9753,44.9481,36.9233
"EPB41L4A-AS2",0.0384548,0.277953,2.31892,0.130307,0,0.671988
"EPB41L4B",2.41403,3.173885,6.33879,6.60605,5.473688,8.270375
"EPB41L5",79.5939934494,56.578073,47.2744100056764,62.109913,47.562484,38.524589
"EPB42",12.7991,5.72663,2.98183,7.122546,3.12398,3.17261
"EPC1",93.95237,44.938206,47.78713,47.099218743,33.90446,25.8159
"EPC2",27.4241,37.5561,39.4552,43.6361,43.8318,45.1676
"EPCAM",10.3227,14.2152,21.9766,29.6596,32.0472,30.833
"EPDR1",1.38429,0.95402,3.04837,14.78075,4.67911,9.55805
"EPG5",3.75248,5.15085,5.64966,8.83045,6.09216,6.67898
"EPGN",1.263943,1.450752,1.94789,2.614408,2.757289,1.640896179088
"EPHA1",2.53358,1.40166,1.04571,6.43304,4.40751,3.26939
"EPHA1-AS1",0.163258,0.999927,1.42934,0.14355,0.914881,0.531505
"EPHA10",47.806851,29.35318,25.28588,35.738425,20.24769,18.307402
"EPHA2",0.706914,0.609454,1.03328,1.28526,0.59717300047708,1.272659
"EPHA3",0.3028838,1.168362,1.361521,2.740203,2.176185,2.473457
"EPHA4",16.30790645511,5.937884,9.60183034,12.761554,2.63453083,4.89934274905
"EPHA5",0.4724355,1.735587,3.954476,2.13129200067241,10.8153708,14.842839
"EPHA5-AS1",0.0469156,0.169146,0,0,0.0797768,0.410375
"EPHA6",32.74933,14.16237,20.64061,83.4576,43.600126,39.748837
"EPHA7",0.4863375,1.723472547,2.135007,1.5827017,2.461288,3.159136
"EPHA8",3.9313,4.58009,3.89096,1.66692,1.799245,2.88526
"EPHB1",1.33391,2.39151,2.38985,8.07798,7.91131,4.80034
"EPHB2",0.150504074768238,0.487144,0.6166781,0.457587940308,0.597386,1.27556
"EPHB3",0.292316,0.803604,0.545511,1.04052,1.23606,1.32765
"EPHB4",5.8055,10.5931,11.5127,10.4863,11.6794,19.3278
"EPHB6",0.846733,2.541385,2.48041,1.355544,1.860050207,2.764102
"EPHX1",4.78066,8.049104,7.90312,9.849769,8.098263,8.581175
"EPHX2",3.12494,1.5498,3.78071,6.64249,4.423328,6.46441
"EPHX3",2.50816,2.66417,2.22955,1.27864,1.46568,0.944973
"EPHX4",1.3366,1.34231,1.71885,2.92782,1.32336,1.62171
"EPM2A",12.46708,15.53575,12.66317,19.21264,19.40913,11.13351
"EPM2AIP1",2.18907,4.19016,4.44049,6.3936,5.28087,6.06117
"EPN1",12.4425,15.262708,11.7815476,37.96215,21.722514,20.414006
"EPN2",48.9031,17.267023,14.9911,36.955827,9.35796,13.3876369
"EPN2-AS1",0.324232,2.03976,0.491972,1.77297,1.77367,1.08012
"EPN2-IT1",0.933107,0.643503,0,0.535216,2.33289,1.36624
"EPN3",0.340017,0.596059,0.782636,1.73859,0.978715,1.27936
"EPO",0.0407032,0,0.342278,0.378696,0,0.533616
"EPOP",12.0626,13.868,10.782,9.22836,7.58121,8.64426
"EPOR",0.791396,0.622034,0.616324,1.14333,0.856877,0.517791
"EPPIN",8.11938,20.795084,15.6899,9.09516,16.4906,16.7961
"EPPIN-WFDC6",0,1.29921,3.13067,0.168725,0.529674,0.553948
"EPPK1",6.009,16.1658,18.1263,0.706641,2.6966,3.78709
"EPRS",67.2225,124.752,167.901,53.8569,89.2701,98.2183
"EPS15",157.811,94.20971,90.5273,174.7542941,85.76857,65.04963
"EPS15L1",10.402709,5.027792,5.223419,18.723405,8.32535,7.03600300492632
"EPS8",6.18031,7.94945,5.96272,24.2198,27.8896,17.5692
"EPS8L1",0.395646,0.7180499,0.88351,1.080384,0.827385,1.5559
"EPS8L2",0.748364,1.3321,2.11209,2.00111,1.39975,2.3581
"EPS8L3",1.3437608,2.181904,4.465626,3.44857102624,2.1552384,4.094327
"EPSTI1",4.5155650217783,6.818929,9.91971,13.43714,16.85553,16.54384
"EPX",0,0.101092,0.183025,0.191174,0.376344,0.377036
"EPYC",0.069056,0.124925,0,0.439968,0.761486,0.100509
"EQTN",93.07623,33.04791,64.1916,429.2723,173.83232,156.3572
"ERAL1",27.945461,14.3683,9.84697,9.71271793369,6.69083,5.50509
"ERAP1",17.337225,7.6067171125674,7.289313,40.62809,14.69593,10.6037600001983
"ERAP2",2.300926,2.186459,1.6466568,3.1405,1.01439200019347,1.32933
"ERAS",0.215332,0.128701,0,0.535216,0.736703,0
"ERBB2",8.17144000066597,7.431875,4.29430249463,5.33651993182,5.092711,5.9665630477139
"ERBB3",1.895519,5.43385,4.595585,3.744943,7.14871,8.5181
"ERBB4",0.169826382,2.251824,2.6963608,0.40370785,0.60702506,1.706923
"ERBIN",27.105264,73.537644595,84.951930000174,25.0004530002015,50.47643138592,57.9252528408385
"ERC1",4.95550579,16.0588328,27.51710855,18.0788597,31.7927154,37.216164
"ERC2",0.929131,1.34627,2.97623,1.45759,1.90354,2.36751
"ERC2-IT1",0.292304,1.78818,1.69889,0.84525,1.74286,1.38484
"ERCC1",13.175424,7.365682,7.61402,15.970731,7.66461,8.86463
"ERCC2",7.330805,11.032782,8.489415,4.373611,6.54331,8.89613
"ERCC3",81.049269,74.17512,60.49244,48.032618,44.51128,52.355305
"ERCC4",11.7095,12.812,16.0355,29.7106,24.9234,18.5942
"ERCC5",54.6375,73.8601,66.197,63.8826,63.4775,42.6164
"ERCC6",1.975713,6.354161,9.9609275,5.692264,6.317368,11.78778
"ERCC6L",0.64275,1.256302,1.878007,1.69459,1.240301,1.906134
"ERCC6L2",11.12018,19.19342,22.27204,10.39897,18.00772,20.17586
"ERCC8",33.904105,39.6719,36.592911104,30.512603,29.48236,25.15152
"EREG",0.785698,1.24766,1.13046,1.25722,1.80844,0.999702
"ERF",3.619586,6.849368,7.596356,9.25274300305473,8.158940142861,10.97813
"ERFE",36.6203,23.9544,14.9229,22.1854,18.6214,11.2143
"ERG",1.777652144,3.1139330104239,2.716209,2.69959260467999,2.3382498005,2.85727263304132
"ERG28",192.353,39.1982,29.2087,228.504,47.7628,34.2989
"ERGIC1",3.07834,3.70004,3.69116,12.532,7.3163,8.44377
"ERGIC2",30.6269,29.742,48.8485,142.547,94.0428,81.049
"ERGIC3",250.19,217.24354,232.723305,444.8504,363.08018,316.79571
"ERH",298.599,190.344,191.33,158.35,137.389,79.2228
"ERI1",26.392682731,39.750405,46.8402,43.72862,61.12301,48.01564
"ERI2",43.50141,40.279,41.4541,40.9507,31.6426,25.9898
"ERI3",180.5302,72.86004,60.11793,117.023646,67.8296,54.45695
"ERI3-IT1",3.41802,9.45789,23.73048,18.63008,42.35264,60.93441
"ERICH1",6.380575,39.502909,47.125398,5.63957,38.94604,38.26501
"ERICH2",189.677692,88.38956,202.71561,754.3199,696.915621,450.76933
"ERICH3",97.3398,98.2217,102.261,76.5896,92.3124,60.8821
"ERICH3-AS1",4.175434,6.5027,5.06155,0.7199761,4.34104,3.69226
"ERICH4",0.240307,0.863903,0.58673,1.9059,1.33223,2.1068
"ERICH5",0.5494855,0.805613,4.035936,0.534067,1.27835,1.64515
"ERICH6",118.1669,97.3056,78.4196,148.5024,128.8984,79.2424
"ERICH6-AS1",0.635253,12.7131,10.5834,4.02472,11.47121,11.63007
"ERICH6B",2.18515,4.42624,10.1851,17.0296,31.0035,25.0016
"ERLEC1",288.843966,83.86088,95.4265,212.2285,78.90489,68.12802
"ERLIN1",60.56001777921,52.9358857040586,45.651523,56.6291283148,47.0486428269,32.66374185713
"ERLIN2",33.97046,41.9059,34.3541,26.01809,30.513609778,29.71565
"ERLNC1",4.4966,2.84838,8.77415,36.1393,23.4537,19.6725
"ERMAP",1.9185,2.8409,2.64508,4.9956,3.19718,3.324922
"ERMARD",71.609378,69.822998,58.7648,64.906479,61.742660003376,50.38155
"ERMN",0.0263648,0.07456243,0.38568552,0.082427604,0,0.17841052
"ERMP1",71.7437,31.8667,27.6605,64.4957,28.692,27.3727
"ERN1",1.80062,2.48354,2.18103,3.14025,2.61617,2.89022
"ERN2",0.313626,2.03555,2.595,0.66768,2.22268,2.01555
"ERO1A",1.12811,2.52166,2.25235,1.97139,2.40675,4.20683
"ERO1B",128.189,51.4208,55.7953,95.3079,35.9428,28.9967
"ERP27",0.19573,1.3726,1.49418,0.298138,1.98855,0.820246
"ERP29",7.23952,28.32763,46.7626,20.54675,52.6484,71.02565
"ERP44",15.8062,10.1738,8.90501,23.9192,10.1287,9.19914
"ERRFI1",4.02876,6.60013,7.58005,14.1602,15.0274,13.2775
"ERV3-1",17.87059,24.19653,23.65646,8.14417,14.13144,11.3434
"ERV3-1-ZNF117",0.154461,0.930011,0.119544,0,0.852367,3.11727
"ERVFRD-1",0.33209,1.2357,2.57803,0.390045,2.73012,2.14763
"ERVH48-1",1.85699,2.95038,1.63101,3.29392,2.90191,4.20627
"ERVK13-1",3.95119,15.9676,12.4594,5.1987,13.0593,13.2049
"ERVK3-1",14.933,12.9086,12.6952,14.2723,15.0463,14.5008
"ERVMER34-1",0.42011,0.446701,0.0495144,0.419227,0.203576,0.331369
"ERVV-1",0,1.36393,0.911887,0.231885,0.742779,1.88531
"ERVV-2",0,0.0371573,0,0.0469212,0.0420281,0.192696
"ERVW-1",10.80992,14.93177,17.0363,47.527,31.012,28.8027
"ESAM",2.00372,2.47162,1.29169,3.11167,2.12187,1.8616
"ESCO1",134.855,146.516,136.504,96.2456,102.494,79.2173
"ESCO2",5.40158,6.52875,12.2748,12.9116,9.23656,14.4122
"ESD",59.8195,22.5046,14.2968,43.5057,19.6495,15.1623
"ESF1",54.24310281356,74.9887,104.774,41.91250270763,54.4543,57.07027
"ESM1",0.0985693,0.193851,0.601702,0.0684966,0.181118,0.716398
"ESPL1",50.6234,26.1127,25.7466,15.5936,9.93946,8.97667
"ESPN",6.77348,13.0273,10.6392,6.23569,7.0254,9.55761
"ESPNL",0.330073,0.210081,0.563154,0.308283,0.23241,0.778551
"ESPNP",4.47996,8.66431,5.25369,1.31558,3.54512,2.98967
"ESR1",0.9633414485,1.376486,2.39244,4.584470880479,2.534572,3.436313107715
"ESR2",21.723847,45.099129,39.1731232,13.108482,34.970058,24.40256
"ESRG",6.71692,23.3577,21.9809,12.2503,20.0865,21.606
"ESRP1",0.18276408,0.15358394,0,1.2499336,0.52300305,0.813912
"ESRP2",30.1177,22.16,13.624,29.1116,15.0225,12.2391
"ESRRA",3.183676,7.159612,7.70361,2.530561161,4.3624111,4.14257
"ESRRB",1.76311,1.08881,1.26722,3.37729,3.45915,1.9805
"ESRRG",6.44785233399,3.785203,4.7926252,3.16297170068443,2.6064381,2.5151632
"ESS2",3.028896,3.818547,4.92524,9.46801,11.15846,10.47171
"ESX1",1.58755,10.2431,9.97452,3.82708,12.0619,24.1091
"ESYT1",5.41081,8.21287,8.47763,10.207147,6.28124,8.71485
"ESYT2",24.7918,9.23199,10.7254,51.59,21.7541,19.1598
"ESYT3",0.3016202,3.120287,3.17262000405927,0.366369,1.05819,1.856369
"ETAA1",19.8166,45.3919,36.9782,7.39484,18.6749,20.9154
"ETDA",3.00336,0.518743,0.291686,28.6555,0.869892,1.613135
"ETDB",15.6918,9.22665,19.0019,52.5427,53.496,33.0406
"ETF1",46.2447593,37.674093,50.061853,139.88255,87.6927,74.295102
"ETFA",13.2514,25.7316,26.8011,18.88127,31.27215,31.37458
"ETFB",41.25177,82.822066,78.11662,46.488422,82.84245,57.15801
"ETFBKMT",3.774687,3.276965,5.10799,5.125314,3.80605,5.149105
"ETFDH",39.48573,32.72366,38.44854,17.09152,20.31536,22.69649
"ETFRF1",233.822,148.254,129.035,277.859,187.113,106.579
"ETHE1",7.994101,2.16594,4.71198,18.4127,2.64233,0.540089
"ETNK1",26.9596,47.0884,65.5912,52.0259,79.7006,78.2711
"ETNK2",35.3663,12.379213,17.4345,157.09374,63.87693,57.41973
"ETNPPL",0.465111043151,0.374887471242,0.618173222579,0.38687302348,0.350116219052,0.187830084167
"ETS1",5.34519,4.77599,4.86695,10.457848193973,6.11703,6.430547
"ETS2",9.28333,4.62845,3.458274,22.60216,7.85557,8.20339
"ETV1",1.3726801,1.631756,4.128102,7.906188,6.0591543,8.722498
"ETV2",11.748928,2.994526,6.45565,59.855344,20.00481,12.35823
"ETV3",5.6301374,10.81667,10.69533,11.400798,11.9002,12.01717
"ETV3L",0,0.155102,0,0.067745,0.377774,0.246634
"ETV4",0,1.0084,0.714327,0.470652,1.17388,0.440984
"ETV5",13.5011,10.2315,9.11124,8.77699,8.04982,12.2061
"ETV6",2.01638,2.03413,2.49629,7.21237,5.57499,4.79875
"ETV7",0.436629,0.197365,0.408447,0.933034,1.7834336,1.080607
"EVA1A",5.08732,3.164488,3.262754,3.75097,3.31207,4.05474
"EVA1B",2.93526,6.75951,3.23957,1.92385,4.290174,3.44459
"EVA1C",11.573997,6.01964,9.17391,29.6135,16.453614,15.368975
"EVADR",0.422813,10.4421,11.9126,1.35142,14.6546,17.5863
"EVC",0.2876885,2.134183,1.729692,1.4647134,3.278138,5.79494
"EVC2",0.189709,2.15428,2.90135,1.908491,4.451385,5.759557
"EVI2A",1.10227,1.48722,1.572320216808,3.257789,2.123816,1.51049
"EVI2B",1.71007,2.0205,0.218772,8.63665,3.73022,2.41082
"EVI5",8.28476,18.76537,20.9657744,5.461566,14.513342859,23.71120587246
"EVI5L",53.7287,59.6225,44.5779,63.8037,56.9415,45.1663
"EVL",18.4375,8.86593,6.76065,21.571003,8.14592,8.4717
"EVPL",0.066176526163,0.72370805059,0.49877134469,0.17809614567,0.59650313541,0.735809
"EVPLL",23.5097,41.296,64.9335,3.57306,9.05479,7.88696
"EVX1",0.29576,0.388427000524701,0.741864,1.06615,1.36124000152336,2.38584000065604
"EVX1-AS",0.449914,1.85084,1.84699,3.14807,8.09179,4.89392
"EVX2",0.163347,0.236526,0.22944,0.889241,2.21614,2.32936
"EWSAT1",2.24845,2.11514,2.63159,10.5963,10.8349,5.48285
"EWSR1",443.57326,371.345621,313.64965,393.0965,325.80286,259.91657
"EXD1",73.1182,74.1687,68.49345,21.60818,30.6105,21.34773
"EXD2",114.77812867015,82.58912432659,62.493386,24.60573966,27.7636737007055,21.6419511
"EXD3",0.610612,2.242505,0.820171,1.9695436,1.73876,2.81302
"EXO1",7.82808,19.575793,13.94228,9.57371,18.237470021,14.98126
"EXO5",3.9060734137,8.179381,9.39141,3.77526670719613,9.991258,14.403682
"EXOC1",41.30773146507,33.2464491,40.24534,53.29320176806,38.9315862,44.20716
"EXOC1L",0.347317,0.647787,0,9.37711,1.26394,0.719058
"EXOC2",65.1677,43.89537,48.39953,52.79444,30.91633,39.2268
"EXOC3",163.584,182.852,135.162,125.257,145.619,98.8351
"EXOC3-AS1",19.598,13.4463,10.149,17.1617,9.10365,6.43678
"EXOC3L1",1.56506,1.66137,1.11723,7.39507,6.7404,5.37413
"EXOC3L2",2.33619,8.6301,7.73421,2.37461,7.34355,6.9341
"EXOC3L4",0,0.142683,0.221424,0.269701,0.199295,0.456342
"EXOC4",82.68509,113.4238,69.8181,92.7324,96.4723,62.5063
"EXOC5",117.429,79.7445,81.7329,77.9467,48.5394,42.872
"EXOC6",4.3250911,6.487055,9.06163,9.090807,8.076902,12.12805
"EXOC6B",9.129552694,7.955245,9.82302431521,34.6710471,21.3539724,19.08345
"EXOC7",28.7780525,34.37672,25.779841,23.221357,24.4720540014493,19.528364
"EXOC8",3.81013,8.89616,9.87543,6.55014,7.427,8.36428
"EXOG",13.34805149,16.386232,18.22444,5.528751,9.234996,8.97744
"EXOSC1",16.44452,11.30698,10.69227,13.049303,9.629031,8.95603
"EXOSC10",68.69679,58.728900329981,51.1363,73.7421,55.92741,46.6116
"EXOSC2",2.944576,11.67075,11.81538,6.526300808874,11.858325,15.42746
"EXOSC3",56.1569,60.7048,49.4119,27.1231,40.5172,29.9387
"EXOSC4",40.6288,118.943,140.162,43.4924,185.065,127.293
"EXOSC5",39.9536,13.1969,10.0032,24.9789,10.3581,7.61846
"EXOSC6",11.5539,14.4042,15.0956,8.06671,11.7141,12.9591
"EXOSC7",25.35864,45.85196,40.4853,11.97556,27.77797,24.0847
"EXOSC8",149.246,61.0783,41.091,110.203,55.6119,43.8184
"EXOSC9",347.92804,192.80277,214.61654,284.9753,206.67321,152.23773
"EXPH5",1.4451147396948,3.321520671046,3.21429014501,8.9612938,5.5566466777,6.507036570943
"EXT1",1.48255,4.39641,4.4575,7.98242,4.51051,8.82428
"EXT2",31.13617,20.874631,16.1802,36.140797,25.9415,23.8289000106942
"EXTL1",0.0246167,0.358538,0.347724,0.254941,0.374292,0.553737
"EXTL2",3.610406,5.19117000575204,10.7316745112543,22.677635,22.01543,13.1249400003714
"EXTL3",21.1226,20.90107,18.51298,25.045089,15.25534,18.2613
"EXTL3-AS1",6.59431,10.9131,8.23209,2.30432,5.77432,11.8322
"EYA1",1.8842200019211,3.561669,7.42711,2.77860220069249,6.110961,6.895403
"EYA2",1.112864,2.00297,3.97757,1.0962036,2.46464,4.72124
"EYA3",20.75734,35.437465,32.5666265,54.8525001045607,63.2482,58.164952
"EYA4",8.15140467535,10.822267,7.053391,4.3784000240164,5.549376,5.22157
"EYS",1.444532603,1.855371,1.417288112,6.065509326,4.59102163,2.7702022
"EZH1",5.26437,9.95636,7.52064275,3.1901384,5.6233000445052,6.13753
"EZH2",158.98559,129.98129,102.448100003021,120.15709,111.52280074917,86.13473
"EZR",25.138800145212,36.75942,43.7434,36.34509,43.48217,52.4069
"EZR-AS1",0,2.59206,1.34105,0.566905,0,4.88722
"F10",4.42928,2.773007,3.98349,13.05371,11.03102,9.434089
"F10-AS1",3.47338,12.0196,5.51442,2.7074,11.3343,10.0211
"F11",0.0456636,0.538179,0,0.0672617,0.205832,0.325111
"F11-AS1",96.68687,33.085273,17.3819,82.74515,25.5834,10.6533
"F11R",72.588600014618,41.603343,34.7087,16.8729,15.769,12.979
"F12",0.603351,0.592812,0,1.50489,1.23464,1.16945
"F13A1",27.9672,20.8023,16.5924,4.87422,6.79679,4.51826
"F13B",0.231029,0.838621,2.04981,0.237425,0.391096,0.705086
"F2",0,0.282544,0.730828,0.244122,0.483798,0.679537
"F2R",9.57446,12.4625,8.4053,4.718118,4.98339,4.59474
"F2RL1",0.330936,0.790359,1.08387,0.8125,0.652848,0.805417
"F2RL2",0.111847,2.48785,3.23791,0.600612,4.9164,6.03274
"F2RL3",1.04518,8.72137,6.40038,1.61342,8.82339,6.88162
"F3",3.29286,5.807016,8.01538,27.93258,15.954941,17.4514
"F5",1.73447,6.60983,5.58637,4.37396,6.30936,6.46401
"F7",0.0174808,0.953347,1.10957,0.856751,3.576878,5.15338
"F8",1.321416,3.34051,3.94495,2.84046,3.29675,5.440112
"F8A1",0.493746,0.726492,0.173468,1.9712,1.25558,1.21212
"F8A2",0,0,0,0,0,0
"F8A3",0,0,0,0,0,0
"F9",0,0.0341362,0,0,0.0317741,0.190993
"FA2H",0.733434,0.989469,0.944947,2.98362,1.87936,1.09605
"FAAH",455.25,126.615,107.552,196.711,77.9113,56.5972
"FAAH2",0,0.419938,0.325873,0.158207,0,0.303329
"FAAHP1",1.24913,1.9381,3.55941,0.804284,0.589852,4.21727
"FAAP100",7.834928,4.065053,2.416727,5.3876,2.70865,2.378693
"FAAP20",19.328186,14.460057,30.448366,22.743875,8.1630993,13.26602
"FAAP24",27.3835,27.84196,23.3644,9.68656,8.1471337,8.08611
"FABP1",0.832649,0.422403,2.95091,0.28697,0.2058,0
"FABP12",5.654513,1.68961,10.6561,12.6267,13.7886,10.74445
"FABP2",1.36564,4.64331,4.19976,1.62872,3.64229,5.3878
"FABP3",1.0372,2.02242,3.22151,2.686906,3.77458,4.092228
"FABP4",0.141002,0.632222,2.0611,0.409212,2.04956,1.03202
"FABP5",112.326,162.526,143.628,58.4275,104.036,70.2897
"FABP5P3",21.7602,12.2753,10.4733,20.2537,19.3147,8.78858
"FABP6",0,1.69817,0,0.277356,0.198179,2.37944
"FABP7",0.170176,1.4452432,0.636652,0.362651,1.156675,1.631151
"FABP9",0.401661,1.39596,2.43756,0.616038,2.10669,3.5856
"FADD",1.40469,5.75354,9.0875,1.60628,6.09315,8.29363
"FADS1",1.35275,4.95259,1.79857,3.5181,6.30187,4.39856
"FADS2",0.869271,2.352196,1.59409,3.797137,2.68785,1.68889
"FADS3",1.80612,2.21678,2.00694,5.06761,3.4559,3.43193
"FADS6",0.593181,1.52834,1.89819,0.618781,2.55252,1.34048
"FAF1",284.145,237.782,224.127,247.198,199.528,134.653
