"","PS.rep1","PS.rep2","PS.rep3","RS.rep1","RS.rep2","RS.rep3"
"ABALON",3.41361980590899,3.70088355602827,3.16683593228252,2.81346722661555,2.76892745219225,2.6732579044786
"ABAT",1.59331217486497,1.85539815078964,1.67957738313388,2.84923108501055,2.3266178791083,2.05208335427186
"ABCA1",1.05096133633832,1.91327049259809,2.5373035228599,1.50418815469608,1.68263172306648,2.18892625101247
"ABCA10",1.97322920001838,3.13281864244107,3.88672571818729,2.52692015125163,2.65726727989866,2.61774749176308
"ABCA11P",2.14546877912691,2.48276053150642,2.75794704380322,2.08941340357554,2.99700691186773,2.37865311140603
"ABCA12",1.01183909677086,1.22737450341844,1.98905905731695,2.93953314136265,1.54947745572724,2.26646394050179
"ABCA13",0.730326930493765,0.796179918299123,1.14603604668215,2.31342000969062,1.55845377624565,1.87852132938883
"ABCA17P",3.41837077958282,4.26817984833569,4.39892492579792,3.44386785110399,4.48229329362485,4.21994291395413
"ABCA2",2.32170364610406,1.57983182097158,1.50080409220065,2.6063024528757,1.90715402690662,1.77202033641419
"ABCA3",2.22468860017996,2.76613291645912,3.40817652457565,3.39436871272221,3.45087471857314,4.13509976297878
"ABCA4",0.826896217507307,0.445565688751194,0.751132038858574,2.00123297723727,1.21928935321467,1.09856778147406
"ABCA5",4.88512577070362,5.33987636299764,5.62442818429541,3.98834021640982,4.6722024142209,4.6440085303276
"ABCA6",1.11312704059787,2.78749306312277,2.4428824702161,2.51169320560171,2.60805222046695,2.13797560124576
"ABCA7",0.408658608026257,0.514316205959397,1.0336872878706,1.34574834777157,0.997979534139285,1.15608590857064
"ABCA8",0.376259261690788,2.32966284266274,2.53199097567559,1.85917167227354,3.02761416341949,2.30218625547117
"ABCA9",1.31765717280914,2.95798515342195,2.97040090093278,2.35584509634497,2.97628480780192,2.67161041347634
"ABCA9-AS1",0,0.619834605670272,0,0.289823844070627,0,0.937855836697281
"ABCB1",1.61058668282386,1.51632584786127,1.99985572328195,2.56271480583932,2.50650546819126,2.72260976219817
"ABCB10",1.2622587487728,1.49670776327073,2.16923234157101,1.6593491918655,1.74052177899788,2.88154716311114
"ABCB11",2.59332030293581,2.57538010671477,3.49593814930375,4.87123747100742,4.54643148880567,4.33744707333002
"ABCB4",0.416394436973217,1.46759468402167,1.47135864830713,1.16112148042256,1.76158612263813,1.4773146656387
"ABCB5",1.01064623113021,1.64160521536231,1.99170595509362,2.31480352761176,2.40401696555316,2.23436949157555
"ABCB6",5.79188620411056,6.66577590760646,6.00484741776983,5.73728412409852,5.92886700787226,5.39644209423033
"ABCB7",1.36643412806572,2.23700133698876,2.38940698864254,2.5270403142709,2.11557565025431,2.76920279908005
"ABCB8",2.26363540356833,2.93158832390825,2.60006230360035,2.37077053154181,2.54783056549753,2.72038792200975
"ABCB9",5.63102515902748,4.7628537237029,4.35396262194156,5.00564953885899,3.9134552884565,3.68090379424723
"ABCC1",4.98224979630755,4.30936539052269,4.9025029463768,4.74474236302594,3.69426733502289,4.43523519935207
"ABCC10",1.34451152366216,1.16882749466407,1.2401250108966,2.10445307725219,1.61426318725805,1.84244790276014
"ABCC11",4.30227005844554,4.17602750063144,4.26503175632628,3.99994409448399,3.48923463453202,3.17259472156202
"ABCC12",4.77337925120335,4.64162694721313,4.27222479384626,3.34160154650826,3.28695062015941,3.18859398846714
"ABCC13",0.02549832063229,0.692112913454499,0.171948484378516,0.147452589231627,0.276931344166736,0.698726999725051
"ABCC2",2.00810318059815,1.25657593330064,1.04627451745492,2.49765834719765,1.98840838989601,1.5741451153409
"ABCC3",0.167522357339528,0.650307786537732,0.730541708027864,1.45420221949744,0.522686539155431,0.794253651518126
"ABCC4",2.39229543868683,2.90906684582156,2.90945054948813,2.67852939389552,2.93106651828352,3.9006330605112
"ABCC5",1.57921153171406,2.14244872873642,2.77883094611822,2.99744958688683,2.6741058098033,3.13013189623762
"ABCC5-AS1",0,0,0,0,0,0
"ABCC6",0.271410137454548,0.569357388569619,0.495239772111363,1.32157257102695,1.04685860340748,0.911508337804082
"ABCC6P1",0,0.354722957853834,0.421702120440388,0,0,0.312775520408214
"ABCC6P2",0,0,0,0.193780572978654,0,0.716799546343304
"ABCC8",0.225712609267832,0.0764852027748685,0,0.563683365331869,0.0477401855518323,0.0810820473951942
"ABCC9",2.7501691283081,3.68139994521668,3.53706516770262,3.83514594064804,3.51485601071294,3.61589589951125
"ABCD1",0.250438956563992,2.07163569007635,1.32797472500578,1.16947609315135,1.63462114634145,2.19440859603247
"ABCD2",0.185568463236205,0.601161170176295,0.331992924364706,0.808982188390368,0.850749025911678,0.845181707793241
"ABCD3",2.99985139475749,4.52284795898989,5.09708738766106,3.45192585197731,4.77159088376593,5.11869568990859
"ABCD4",3.07138431293241,3.14682716082544,3.21379394251895,3.1198120183152,2.81543308686812,3.09980498216646
"ABCE1",4.9928749071583,4.98989785795049,5.03683298047545,5.84776620718472,5.33159630811423,5.3652081985485
"ABCF1",6.40616588095504,6.62039961040347,6.65833646329462,5.71750095874794,5.664932190364,5.64295249116254
"ABCF2",5.95674437141655,6.49270563744984,6.17856526551317,5.88571345377154,6.04426514540057,5.66354956542974
"ABCF3",4.6963011879527,4.68627707423566,4.70959833373105,4.58180447388562,4.28445150257421,4.50883047207713
"ABCG1",1.19452211391865,1.70397021957257,2.09497918734714,2.69110754650298,2.36460016539028,2.32544168471195
"ABCG2",0.986348383736275,1.63427402813781,2.33028130713823,1.37512509221131,2.0112601798088,2.51320116687516
"ABCG4",3.75250562452895,3.04133638985627,2.26488167570022,2.22801579007009,2.14722723438194,1.52580078613081
"ABCG5",0.198168488984835,0.452012335254225,1.08136008139543,0.396489429463102,0.169306754315283,0.667299034108774
