Geneid	Length	genome_mapping/High_6555c3.rep5.RNAseq.mm10.sorted.bam
Armcx6	2034	38
Pramel20	2103	0
Fndc3c1	4812	2
Trp53rka	1868	850
Defa39	500	0
Best3	2719	10
Gm11541	1681	0
Akirin2	1719	2784
Rtn1	3917	98
Rtp2	2428	0
Daam2	6045	255
Asap3	5618	734
Plekhn1	2210	1550
Bnip2	6138	7486
Aox2	4776	0
Cdh12	5639	0
Nol10	2986	1673
Scaf1	4177	6781
Ccdc177	4399	4
Cdsn	2757	176
Thoc6	1539	1516
Teddm1b	2527	0
Zfp975	3145	192
Fbxw20	1511	0
Taar3	1032	0
P2ry14	2571	364
Wdr34	1800	1561
Taar4	1044	0
Zfp760	4209	730
Bbs12	2434	947
Zc3h14	4184	6844
Adora1	5819	948
Mxi1	3813	4864
1700001J03Rik	778	2
Pde2a	4987	2400
Zfp658	3381	257
Zfyve26	9368	4481
Il4ra	5219	12005
Dab2	4628	4783
Bud31	974	2168
Calm5	549	0
Kbtbd8	4732	42
Whrn	4406	247
Tmem232	2756	0
Adam6b	2271	0
Naaladl1	2689	37
Adam26b	2405	0
Adam20	2589	0
Zfp36l3	2613	4
Mup21	755	38
Unc13d	3967	3317
Taar5	1014	0
Armcx5	2824	531
Septin11	11141	14797
A3galt2	3390	39
Mief2	2522	1142
Brsk2	4667	8
Txnip	2801	20649
Il19	1124	0
Dock11	6665	2989
Nrsn2	1422	0
Slc25a51	4437	7071
Slc38a8	2622	0
Cep44	1399	886
Scgb2b20	520	0
Pde1a	5579	248
Slc10a7	3644	1677
Ficd	3161	880
Kctd14	2557	158
Taar7b	1077	0
Taar6	1038	0
Taar7a	1077	0
Taar8a	1035	0
Taar9	1047	0
Mdc1	7352	3092
Slc10a5	3923	162
Taar7e	1077	0
Ppp1r13l	3130	2465
Taar8b	1035	0
Taar7d	1077	0
Taar7f	1077	0
Taar8c	1109	0
Mrps33	1052	810
Gjb6	2198	0
Gpr12	2760	0
Hrh2	5937	46
Olfr1193	957	0
Olfr94	1161	0
Olfr1148	945	0
Olfr310	1082	0
Olfr913	1275	0
Olfr1418	957	0
Olfr1415	936	0
Olfr503	972	0
Olfr456	1052	12
Olfr1251	957	20
Olfr723	1006	0
Olfr329	1037	0
Olfr1037	1125	0
Olfr688	966	0
Olfr988	930	0
Olfr1182	1178	0
Olfr566	1066	0
Olfr1532-ps1	1148	0
Olfr180	1142	0
Nms	1001	0
Rnase13	614	0
Olfr1000	945	0
Cyp2c66	1630	0
Olfr102	1027	0
Xkr7	2711	0
Olfr288	2083	0
Olfr1116	924	0
Olfr1066	942	0
Olfr205	918	0
Olfr1357	1160	0
Olfr744	972	0
Olfr885	930	0
Olfr225	1260	0
Olfr1386	1128	0
Olfr479	984	0
Olfr324	1122	0
Olfr867	996	0
Olfr704	948	0
Olfr294	1008	0
Olfr298	999	0
Olfr293	1011	0
Olfr115	995	0
Olfr735	1065	0
Olfr671	942	0
Olfr948	966	0
Olfr663	1035	0
Olfr1016	930	0
Olfr1031	1011	0
Olfr314	1131	0
Olfr1229	936	0
Olfr299	993	0
Olfr317	1128	0
Olfr332	1601	0
Olfr1089	936	0
Olfr1287	918	0
Olfr1028	975	0
Olfr1419	1160	0
Olfr527	918	0
Olfr1042	1097	0
Olfr285	960	0
Olfr286	1451	0
Olfr287	1776	0
Olfr543	1130	0
Olfr1039	960	0
Olfr987	930	0
Olfr1307	939	0
Olfr1432	1044	0
Olfr222	957	0
Olfr1382	936	0
Olfr193	1009	0
Olfr207	918	0
Olfr598	960	0
Olfr1322	933	0
Olfr1275	939	0
Olfr1249	957	0
Olfr782	945	0
Olfr884	930	0
