Geneid	Length	genome_mapping/High_6555c3.rep5.RNAseq.mm10.sorted.bam
Dcun1d3	5825	1078
Fbxo6	2149	2658
Bri3	1142	3021
Tufm	1777	4283
Tsr3	1193	1387
Smim1	3442	501
Dnaaf4	1978	12
4930563E22Rik	3313	58
Klhdc3	2125	4006
Tdpoz9	2325	0
Tdpoz7	1023	0
Frmd3	4203	0
Ush1c	3135	35
Rrp1b	5077	3425
Ccdc167	5646	544
Nlrx1	3980	885
Pgm3	4582	1505
Tmem192	1126	1279
Pde9a	2064	425
Camsap3	4377	1989
Spsb3	2524	2280
4930432K21Rik	2494	138
Rab37	2806	4
Rab3gap2	6988	6582
Skor1	3802	4
Ces2e	2699	684
Dhx57	5077	2723
6430548M08Rik	6284	1259
Tcf19	1773	1381
Wdr90	6068	1419
Tctex1d1	2514	0
U2af1	985	4829
Dxo	1472	1531
Gm17660	524	5
Taok2	6884	5450
Tmprss3	2882	6
Cilk1	6929	4327
Ccdc151	2200	2
Orc6	1654	2031
Fam76a	3046	3038
Cracd	6835	30
Pdik1l	4727	978
Tescl	886	0
Vav1	4168	888
Ppp1r10	4730	2923
Fance	2016	2443
Msl3l2	2140	138
Pabpc6	3208	0
Tbc1d24	8053	2261
Rpl3l	1592	833
Zfp605	3158	495
Ntf3	1548	85
Ly6e	2326	15355
Smad5	7175	6225
Gm13306	1085	0
Mb	1252	29368
Pld1	5267	3272
Pola2	2872	2066
Prl7a1	959	4
Sell	2321	421
Stat5a	3968	1182
Tank	4278	1434
Tgif1	2674	5595
Tia1	4483	3398
Polr3d	2156	1807
Homer2	11149	853
Cops7a	2316	5950
Bcap29	2008	2019
Polr3e	4272	2661
Add3	4867	5984
Ripk3	1965	1219
Nfatc1	7433	3659
Serpinb6a	1888	25596
Cby2	1836	0
Tcf3	3153	8887
Tnfrsf19	4777	676
Mcrs1	1916	4454
Ppp6r3	4974	9539
Pom121l12	1077	0
Pias2	5433	3308
Myh6	6079	98581
Cpsf1	4516	8995
Psmd10	1456	1654
Lsr	2177	10532
Barhl1	3904	9
Nagk	1479	1783
Mtm1	3926	748
Pex3	2405	1302
Mmp19	3456	1783
Prkacb	5081	8846
Cers3	3251	24
Gm8369	1374	10
Tsen34	1645	3596
Tmem176b	2049	28534
Sptssb	1783	1176
Rerg	2313	388
Romo1	630	1979
Trim13	1698	215
Cert1	5363	6597
Rpa1	3106	4352
Aspscr1	2318	4231
Fbxl16	3847	158
Nrf1	6898	2189
Pwwp2a	5812	1560
Slco6d1	2328	0
Iqcm	2161	0
1700034J05Rik	2034	6
Rnf41	4498	2946
Prpsap2	2025	1023
Tpm1	3279	49032
Xrra1	2631	56
Fgfrl1	2656	1337
Plekhs1	2388	360
Kalrn	16920	2153
Cpsf7	3670	7064
Mga	13931	5637
Prrg1	4038	208
Pramel34	2705	0
Gm5415	3748	0
Phf11c	1590	27
Cuedc2	1941	4740
Gm4846	1744	0
Loxl4	5437	5558
Gm4847	3012	24
Wars	2883	13284
Ccser1	5654	4
Chadl	2546	286
Trpm7	7145	8684
Phf11b	1163	67
Marchf5	5291	7466
Efemp2	2958	4919
Ska1	2669	465
Slc25a25	4238	4707
Erlin1	3432	2373
Cep55	2819	1634
Nt5c2	6643	6429
Atp13a2	3908	3789
Bcas1	3090	1334
Mipol1	1454	367
Gm17455	857	6
Ctnna3	3924	158
Ptpro	6748	226
Sra1	1093	4127
Cnot4	7188	1567
Slc66a2	4866	2382
Kcnk13	3112	195
Mical1	3632	1370
Tmem212	717	63
Ankrd33b	8697	798
Dpys	2884	1107
Nip7	3126	2812
Ifih1	5519	670
Sipa1	3868	3348
Fam170b	1693	2
Ablim3	4562	2581
Klhl29	7047	143
Syn3	11838	74
Tent4b	4678	4053
Akap11	9419	4486
Rnf165	7300	64
Iglon5	2757	59
Serpinb9c	1955	0
Tstd1	551	247
Mup11	914	6
Ildr2	8260	3369
Zfyve27	5613	4334
Cpsf4l	1575	123
Dap3	4879	4946
Pdzk1ip1	1129	615
Trmt1	2800	6881
Exosc1	1622	1521
Sec22c	5783	1177
Amigo2	3214	871
Egfl7	1592	1648
Acnat1	5048	941
Spats2l	4045	668
Vill	2915	6192
Snrk	5102	4123
Myo1h	4913	259
Kbtbd3	2426	224
Zfp169	4186	695
Tsr2	3805	975
Mosmo	4842	1740
Zfp961	2718	847
Dnajc6	5649	66
Pdzrn4	4284	16
Zfp512b	5372	4806
Irf2bp2	5080	13430
Puf60	2080	8996
Nsmce2	3366	1872
Maf1	1749	5489
Smpd4	4664	2983
Atp13a4	4480	0
Ccdc159	1545	93
Ccdc157	5152	1000
Rnf14	3638	6228
Zfp809	2107	1993
Cdpf1	1057	486
Arhgap8	1547	100
Pwwp3b	4810	492
Slc22a8	3510	0
Endov	5277	1544
Slk	7030	19983
Apol7a	2392	1013
Trappc9	7131	3238
9530053A07Rik	7922	297
Catsperg1	3725	36
Trank1	10520	4
Cyfip1	6672	10674
Soga1	13232	5682
Dnah6	12651	34
Dnaja1	3604	6115
Zfp229	4526	584
Pdcd6ip	5975	15778
Ano8	3757	4536
Ces3a	2049	82
Mpp4	3087	49
Tmem29	4079	659
Gm6710	3788	0
Klk6	1410	0
Renbp	1418	649
Amer2	10502	570
Hspb2	840	147
Syvn1	3656	4528
Sh3pxd2a	10464	10349
Il33	2726	4040
Fcrl6	1914	0
Gm10406	1955	0
Tomm6	1007	1682
Mpp6	2490	4868
Crlf2	1495	1484
Fam47c	1648	0
Serpina1f	3158	0
Slc17a3	4276	234
Ptp4a2	3505	16761
Rarres1	1411	564
Robo3	4726	10
Fbxw2	5980	4596
Adamts20	10614	92
Sprr2a2	3547	0
Eomes	3715	18
Scg3	2207	24
Map3k20	9110	3453
Tpbg	3722	1352
Polr2m	2472	7995
Hephl1	5261	0
Slc38a10	5413	11634
Coro2a	4225	5574
Thsd7a	11000	1622
Bend4	7935	182
Pet117	322	0
Aar2	3590	2174
Slc52a3	2766	746
Tmem42	1045	251
Zfyve19	1923	1839
Aste1	2854	553
P2rx2	2018	20
Lrrfip2	3332	3413
Lpin2	6081	11565
Mia2	5097	14865
Dcaf4	2180	1003
Prr3	2926	1117
Akt1	2853	24033
Ctnnb1	3623	67735
Majin	1689	38
Cldn14	1967	356
Ccdc78	1651	56
Glt8d1	2521	1574
Rgs9	8530	136
Aven	1985	864
Tshb	645	6
Nsun6	9463	646
Olfr819	963	0
Pogz	7780	4209
Pias3	3095	2978
Trim45	5801	474
Phc3	11066	4619
Nme9	792	0
Fndc7	5122	0
Pglyrp4	2229	0
Hnrnpa1l2-ps2	1165	0
Dcaf17	9413	1291
Ubap2l	5486	14893
Ckap5	6666	7364
Arfrp1	2596	1964
Spopl	2858	1115
Lingo2	5066	72
Tmem215	3226	6
Arfgap2	3409	1720
Skint11	1393	0
Slfn14	3704	10
Cfap74	7614	20
Mrps2	2079	1996
Gtf3c4	7126	4292
Gm16381	687	0
Ccdc152	924	138
Syde2	5495	421
Gcnt4	5341	1037
Mroh2b	5230	0
Slc4a5	5124	16
Armc8	6870	1993
Krt81	1857	0
Ccdc74a	1278	129
Lce6a	791	6
Dmkn	2164	90
Arsg	3897	1017
Erv3	3378	0
Dpy19l2	3441	0
Myh15	6883	0
Niban3	2452	318
Zfp712	3970	110
Mgll	4628	1482
Cspg5	3871	8
Ccdc33	3677	0
Serpina11	1489	2563
6030458C11Rik	5474	1690
Fgf8	1636	0
Fam219b	3055	903
Fam122b	4334	391
Fkbp2	825	11
Trmt112	1032	2639
Zfp638	6470	4107
Marchf1	4822	475
Ms4a6c	2052	1774
Armcx1	2465	172
Rad52	1978	790
Rbmy	1731	0
Sp4	9017	1204
Ptp4a3	4671	4224
F13a1	3927	4382
4931428F04Rik	3553	624
Armcx2	3778	460
Rab3a	1562	472
Tnfaip3	4595	4641
Kif20a	3905	3056
Rai14	5114	9370
Rbm3	3582	20820
Arhgef25	2938	605
Rfx3	9427	591
Med23	4946	2096
Hnrnpf	2990	11032
Tbc1d25	2516	1178
Slc25a14	1927	319
Pls3	3574	19946
Slc38a1	8391	965
Brcc3	4998	2156
Spock1	6673	0
Vmac	2276	803
4930407I10Rik	4673	0
Hmga1b	1599	0
Ssr4	922	5960
Mthfsd	7208	1639
Rasgrp3	4931	513
Zpbp2	1639	4
Zfp983	4593	347
Dennd1b	8313	2807
Slc39a11	3174	2261
Sec14l1	5713	6908
Sfmbt1	8122	1148
Eif4enif1	4230	4937
Zbed6	5007	4827
Rnf145	7238	4164
Abca6	5719	4179
Depp1	1317	3173
Thoc2l	9445	2073
Tead1	9905	8524
Eif5a	2017	42111
Dgkz	4373	8647
Gm16430	700	0
Fmr1nb	930	4
Rbmx	3743	2170
Ccr9	4392	10
Dynlt1f	1163	345
Dynlt1a	4945	72
Dynlt1c	693	68
Havcr1	2098	0
Large2	2665	255
Gm4302	927	0
Mid1ip1	2059	6814
Gm4312	914	0
Gm4301	914	0
Gm4303	910	0
Gm4305	910	0
Kat14	3751	3075
Gm4307	910	0
Bcas3	3656	1675
Zfp651	6353	1825
Zfp882	5651	163
Gm16405	700	0
Zfp280c	5223	2006
Klhl33	7543	209
Cdkl3	3697	393
Cdr1	2313	0
Ccdc85a	5595	124
Gemin5	6214	2619
Gm14548	2183	0
Cep95	2727	654
Cfap77	931	8
Vmn1r55	933	0
Vmn1r123	924	0
Vmn1r119	924	0
Vmn1r207	939	0
Vmn1r7	936	0
Vmn1r249	924	0
Vmn1r151	918	0
Vmn1r244	918	0
Vmn1r122	918	0
Vmn1r120	918	0
Vmn1r113	924	0
Vmn1r173	942	0
Vmn1r34	930	0
Vmn1r39	918	0
Vmn1r176	915	0
Vmn1r170	915	0
Vmn1r94	918	0
Vmn1r160	924	0
Vmn1r129	924	0
Vmn1r127	918	0
Vmn1r175	915	0
Vmn1r1	921	0
Vmn1r31	912	0
Vmn1r77	921	0
Vmn1r60	903	0
Vmn1r61	903	0
Vmn1r57	933	0
Vmn1r224	897	0
Vmn1r91	924	0
Vmn1r103	918	0
Vmn1r104	924	0
Vmn1r128	924	0
Vmn1r125	924	0
Vmn1r121	945	0
Vmn1r118	921	0
Vmn1r117	924	0
Vmn1r116	924	0
Vmn1r115	888	0
Vmn1r111	921	0
Vmn1r135	924	0
Vmn1r139	894	0
Vmn1r142	918	0
Vmn1r143	924	0
Vmn1r254	918	0
Vmn1r152	924	0
Vmn1r155	924	0
Vmn1r157	894	0
Vmn1r163	924	0
Vmn1r260	924	0
Vmn1r124	924	0
Vmn1r159	918	0
Vmn1r107	924	0
Vmn1r79	921	1
Vmn1r101	924	0
Vmn1r114	966	0
Vmn1r126	966	0
Vmn1r131	921	0
Vmn1r149	924	0
Vmn1r158	924	0
Vmn1r168	930	0
Vmn1r169	915	0
Vmn1r100	924	0
Vmn1r112	894	0
Vmn1r130	924	0
Vmn1r137	924	0
Vmn1r165	924	0
Vmn1r245	924	0
Vmn1r255	924	0
Vmn1r240	924	0
Gm16451	924	0
Vmn1r252	921	0
Vmn1r242	921	0
Vmn1r251	924	0
Vmn1r241	924	0
Vmn1r257	921	0
Vmn1r243	924	0
Vmn1r253	924	0
Gm10665	966	0
Gm10670	966	0
Vmn1r256	921	0
Vmn1r246	921	0
Vmn1r258	942	0
Vmn1r247	942	0
Vmn1r259	918	0
Vmn1r248	918	0
Vmn1r166	921	0
Vmn1r138	921	0
Vmn1r2	921	0
Vmn1r3	921	0
Vmn1r86	951	0
Vmn1r88	951	0
Vmn1r95	924	0
Vmn1r238	921	0
Vmn1r184	945	0
Vmn1r196	906	0
Vmn1r221	939	0
Vmn1r186	903	0
Vmn1r187	903	0
Vmn1r250	966	0
Tcp10c	2528	0
Pate8	330	0
Pate12	574	0
Gm5916	1142	0
Pate10	758	0
Pate3	1330	0
Spata31d1b	4281	0
Spag7	1161	3182
Pate7	643	0
Rhbdf2	3842	4457
Sirt4	1798	595
Gpr19	2948	307
Serpina3a	1864	9
Rad18	3194	892
Chchd6	1126	635
Slfn8	4011	239
Wasl	4858	8434
Dnah17	14889	190
Egfem1	3644	38
Vps50	5862	1966
Ankrd7	1191	0
Ift122	4067	1493
Ldah	4137	2263
Rbm10	3702	2977
Asxl3	11697	12
Defa17	411	0
Stx5a	2264	4025
Trim30d	3758	178
Dennd10	2391	1965
Zfp764	2508	432
Wipf3	4436	375
Cyp2c50	2932	3211
Skint5	4497	0
Garem2	3832	24
Ankrd50	8496	17261
Kmt5b	9268	6964
Nrg2	6221	134
Frem3	6626	0
Cd101	4636	269
Ppp1r3e	1852	192
Nme8	2087	12
Mbtps1	4374	13682
Smok2b	2305	0
Atxn3	5404	2633
D830031N03Rik	8311	2205
Slc8a3	5068	16
Gtf2e2	1802	1970
Col6a5	9297	106
Minar2	1941	0
Zyg11a	2416	122
D6Ertd527e	2227	50
Mau2	7683	9235
Zkscan5	3810	1145
Zfp821	2614	1464
Atp2b4	8292	1929
Ankrd10	4765	4307
Slc25a21	2766	28
Galnt7	4523	3671
Sipa1l1	7699	5132
Hook2	3303	5794
Trmt2b	3638	1665
1110032F04Rik	2578	2
Tex11	3594	12
Knop1	5612	5107
Clec2g	2664	32
Morf4l2	2480	16216
Irak1bp1	1893	190
Syce2	1373	644
Rmi1	3877	539
Mtbp	4451	1213
Fam83h	4628	3555
Tmem40	1470	72
Sec24c	4515	10457
Gsdmc2	2312	0
Zfp647	2298	228
Jazf1	3098	82
Wwtr1	4784	11163
Arhgap39	4583	1102
Pdss2	2031	328
Sugp2	4451	2324
R3hdm2	4799	6357
Ephb1	4667	38
Fbxo30	5114	2226
Cdk19	5807	2946
Scara5	5596	1151
Bcor	8312	3506
Tinagl1	2175	16301
Btbd35f2	1949	0
Btbd35f5	1950	0
Nfatc4	4019	655
Kcnj1	3268	0
Bnipl	1788	52
Tyw3	4404	309
Ccdc7b	1747	10
Usp19	5218	9762
Phf14	4479	3104
Ccdc125	2705	718
Ramp1	3022	718
Ankrd55	3577	120
Spink13	795	0
Ube2m	1567	4500
Emc6	1436	2769
Dynll2	2819	6733
Ttc23	5267	1125
Men1	3040	3076
Pdcd4	2556	2483
Plscr3	3152	4462
Ncmap	2151	593
Olfr78	3496	7
Shoc2	4338	6314
Zfp574	5074	1608
Tmem11	1511	2039
Mapk14	3788	8537
Ffar2	2826	132
Rpgrip1	5213	39
Zdhhc24	2562	790
Sarm1	5164	18
Sgms1	5015	3607
Cdadc1	4479	1476
Btbd8	8291	763
Zfp446	4914	332
Kcns3	3059	58
Ctps2	5962	2911
Nat2	1499	749
Tceal8	2358	789
2010106E10Rik	1287	0
Lonp2	2944	5732
Gnl3l	4877	3517
Tifab	3498	829
Enpp5	4863	1050
Znrf1	5562	5903
C2cd4c	6754	304
Lrch4	3081	0
Socs2	2698	3953
Ccdc127	8615	2369
Apol9b	1595	787
Fam114a2	2611	3705
Gtse1	2780	1209
Tspan8	1522	16268
Tmcc3	6415	2040
Endou	2718	44
B3gnt2	2818	2944
Tent4a	3997	3670
Cd300lf	1892	2281
Ube2h	4779	5881
Clec4a2	2616	482
Mlf2	1544	14488
Cd163	4492	2407
Tmem229b	4287	252
Slc35b3	2226	1508
Ppfibp1	5194	15755
Tada2b	3791	2005
Borcs5	1937	873
Arpc4	2271	6776
Tprkb	3342	2797
Aplf	3282	542
Mef2c	7152	952
Btf3	1129	16905
Krit1	6414	2825
Prkag2	3952	2314
Nfu1	955	2293
Fcamr	1911	51
Slc17a1	2832	258
Rnf144b	4694	4866
Pde8b	5155	198
Elmod2	4709	1378
Rcbtb2	3856	2331
Dthd1	2905	14
Asb8	2278	2132
Wdr59	5222	2789
Ctbp2	4777	4594
Magi2	7233	175
Asb14	2021	596
Mthfd1l	4332	3876
Rbm20	6592	1633
Luc7l2	9301	13473
Klra2	1886	457
Mndal	1936	415
Trim36	4851	82
Wdcp	3173	233
Ncald	4830	694
Pym1	1491	1279
Trim43b	2262	11
Trip4	7162	1671
Prr13	1229	7715
Trim66	9649	76
Olfr1507	1679	0
Plppr3	4275	997
Rnmt	5270	3291
Defa27	282	0
Pde6c	2963	16
Dtwd2	3145	356
Wdr33	8062	5359
Dbndd1	2637	200
Abat	4635	2637
Hnrnpc	4037	11104
Kirrel	7076	10571
Ahcyl2	5653	6448
Degs2	3574	1046
Mgam	11855	1392
Prkd3	6133	5626
Nod1	4415	1695
Slc14a1	3995	611
Il4i1b	2300	8
Os9	4049	14381
Tmbim6	2803	52220
Mta3	7921	2951
Yap1	4169	6418
Mal	2778	5351
Obscn	28034	10323
Myt1	6395	0
Actl10	1501	14
Bag1	1349	10691
Triqk	1501	105
Bdh2	1171	103
Lman1	3714	10973
Lrrc56	2909	386
Senp8	3904	163
Vmn1r68	960	0
Ttc4	2762	1905
3110009E18Rik	1089	64
1700001C19Rik	1895	126
Depdc1a	3323	212
Kdm4c	4401	1478
Cacul1	5790	6309
Strn3	4164	6121
Cuedc1	3189	2657
Rnh1	2015	18871
Zbtb25	1777	642
Gramd1c	4092	363
Dhrs7b	1582	1407
Traf7	2735	8344
Hck	2092	544
Rbms3	8215	1026
Aimp2	1185	3639
Rbm41	6759	716
Wdr17	7876	2
Dnase1l1	1614	1382
Dis3l2	3171	1289
Flrt3	4537	1026
Arid5a	5794	1801
Lrtm2	3679	393
Fam221a	2095	118
Dhrs3	2576	4081
Sphk1	3054	4537
Aspn	2351	623
Sphk2	4163	1972
Mrgpra2a	1271	12
Olfr376	1210	0
Fxyd4	554	6
Sirpb1c	1456	299
Sirpb1b	1496	72
Rlbp1	2422	0
Thpo	2512	486
Map1a	11912	554
Taz	1833	2631
C5ar1	2570	1402
Cacna2d2	5542	0
Camk2b	4166	2320
Smarca4	6475	12261
Shisa9	4844	6
Krt36	1665	13
Map3k9	11890	468
Gm37013	4621	0
Rasgrp4	4630	450
Tmigd3	2597	4
Serpinb2	2047	286
Rara	4339	3298
Aldoa	1824	82476
Orc4	5170	2160
Tfpi	3780	1647
Septin6	6697	1530
1700092M07Rik	380	6
Gm3646	359	10
Ifi213	7823	16
Myc	2399	9214
Gpr137	2780	2068
Gm9112	457	0
Fut7	2064	2
Nfkb2	3292	5181
Dbn1	3047	5479
Klk11	1449	0
Ubr2	7748	10036
Gm6760	604	0
Cpeb2	7066	2138
Cypt15	518	0
4933403O08Rik	1520	0
Gm13547	629	17
Zfp971	4205	966
Spint3	554	3
Cebpzos	1513	397
Zfp967	3586	0
Zfp966	3586	0
Gm15319	2514	8
Usp35	4325	598
Epp13	930	0
Fbxw28	1839	2
Eid2b	2424	370
Mroh4	3549	44
Aldh3b2	2161	0
Tldc2	1151	32
Zfp516	7817	5016
Gm7030	899	0
Mymx	976	0
Gm15056	797	2
Defa35	403	0
Defa38	454	0
Gm11559	1096	0
Defa30	390	13
Defa41	282	0
Defa40	421	0
Plekhd1	3527	172
Gm6588	2313	0
Zkscan7	5018	597
Olfr743	936	0
4933402N22Rik	1108	0
Npffr1	4575	0
Gm7102	1624	4
Defa42	463	0
Defa32	427	0
Defa37	404	0
Defa28	285	0
Gml	894	8
EU599041	1428	0
Defa43	351	0
Zfp964	1740	63
Defa34	376	0
Esp6	660	0
Apol11a	1134	0
Gm15881	3253	0
Gm4340	1258	0
Prdm11	10921	192
Gm11562	807	0
Duxbl2	2146	0
Duxbl3	2146	0
Pramel29	1826	0
Gm2026	4539	0
H2ac23	552	3
Zfp600	4306	0
Trim61	2229	0
Bfar	4557	2929
Gng12	4363	7796
Slc10a1	2197	3222
Gm4027	998	0
Gm8300	1872	0
Otogl	9009	0
Zfp970	4664	3877
H2al2c	336	0
Zfp616	4808	0
Slc25a13	3122	2729
BB287469	1851	0
Gm2022	1822	2
Slc25a22	2959	3352
Odaph	759	437
Gm13871	1293	0
Gm10471	3342	0
Gm21953	412	0
Myocos	741	0
Esp23	646	0
Esp4	552	0
Esp8	901	0
Esp34	1413	0
Esp31	1311	0
Esp36	1117	0
Gm8882	916	0
Gm3985	2515	0
Slc8b1	2881	4835
0610010K14Rik	913	1540
Ak4	5162	1135
Ube2i	3377	9252
Arpp21	12429	28
Slc5a6	3889	1372
Ect2	4117	4627
Slc2a6	2136	186
Slc45a3	3486	1260
Grb10	5233	2038
Sirpa	4349	4762
Gm5886	647	28
H2bc6	2510	66
Grin1	4372	51
Mrpl15	4201	2304
Sptan1	8080	50338
Golph3l	2841	3207
Gpr68	3361	105
Gal3st1	2608	967
Ablim2	3761	425
Homez	5826	494
Arfgap1	3025	4791
Cyp26b1	4849	690
Gm2897	1978	2
Madd	6217	2932
Nr1h3	2036	1523
Plch1	7011	2489
Gm10767	1652	82
Tsc22d1	5984	24915
Pfkfb3	5284	5738
Tnfaip8	3948	2930
Rex2	3998	9
Clcc1	3600	2712
Slco1c1	3210	10
Fbxw7	4751	1900
H60b	951	33
Ahi1	5094	407
Dlg3	5637	1048
Rfpl4b	1054	0
Snap23	2223	3688
Sertad4	3401	459
Rgs20	2513	56
Afap1l2	4075	294
Taf6l	2499	357
Eif2ak4	5248	3256
Rapgef3	3834	1021
Wbp1l	4105	15997
Gm10324	1920	0
Smox	2262	2462
Otub2	3715	244
Frmd4a	7937	3976
Tirap	4868	2259
Asph	12476	5523
Olfr1053	943	0
Trim43c	1990	16
Sgo2a	5416	987
Gps1	2161	5138
Phka2	5776	3678
Mfap3l	6824	88
Elavl2	4757	0
Igsf5	2277	1389
9830107B12Rik	3730	10
Rd3	4267	4
Zfp513	2476	1940
Eda	5111	50
Aamdc	893	522
Rpgr	6751	401
Gpm6b	5142	4278
Dcdc2c	3370	0
Naa10	1056	3140
4930480E11Rik	1486	0
Irak1	3955	10334
Acsm2	6738	0
Pde4b	6313	1582
Zmym3	6051	3839
Prdm16	8611	310
Sfxn3	3089	10879
Fmo6	1870	0
Txnrd3	2836	1299
Tfdp2	7645	4869
Rhox3e	648	0
Sult2a5	1046	0
Sult2a7	1102	0
Rhox13	1254	0
Wnk1	12052	25239
Gm5885	648	0
Ins2	583	0
Zpbp	3845	38
Wdr53	1420	579
Vegfb	1282	2063
Zscan4b	1754	0
Pfdn6	719	2334
Snx7	2171	2831
Psrc1	1773	629
Nup35	2873	400
Nrg3	4036	0
Rps27rt	345	0
Mrps36	716	535
Gpr155	5022	471
Gm14326	3308	479
Clec4b1	784	31
Mfrp	4275	0
Clec4n	1245	1875
Chchd7	3066	783
Igll1	870	0
Ces2a	1964	2411
Frmd7	4708	66
Ccr6	2080	16
Ccm2	2104	2241
Tmem132b	7964	25
Gm4832	552	0
Naxd	1420	3486
Ankrd29	3256	201
Kcng2	2815	458
Adamtsl3	7285	572
Camta2	4947	3134
Olfr596	939	0
Caly	1627	14
Bend7	3837	881
Usp34	12200	7566
Amy2b	1413	0
Gas2l1	5403	3580
Magt1	4450	4863
Gne	5740	3795
Abhd11	1699	2910
Abcf2	2894	6204
Aamp	1820	5717
Faap20	1519	1322
Ddc	2089	798
Ddah2	1350	2299
Dcn	2104	14031
Dctn2	1925	10745
Hilpda	1106	4402
Dact1	3761	398
Dapk3	1824	3123
Dmpk	2876	2626
Dlk1	4811	44
Dbf4	2444	2604
Dcaf12l1	3534	76
Gm20594	334	0
Dcun1d4	4326	2217
Ddx19b	6750	2731
Ddx55	2799	1658
Dnajb11	3236	6546
Dnajc1	8583	4218
Jak3	4085	4182
Kat2b	4708	3580
Pdlim5	6812	18112
Kcne3	1718	928
Kcnip1	3243	11
Kirrel3	4908	497
Axl	5084	34976
Kif17	3915	14
Lancl1	4461	1689
Ndfip2	2482	5182
Lins1	5243	728
Lsm6	3801	2668
Sstr5	2733	0
Krtap22-2	380	0
Dync1i1	2802	8
Cypt14	508	0
Ddx43	2209	10
Lysmd4	3632	572
Mdga2	9834	4
Meis1	3441	853
BC048679	690	0
Lims1	5144	10055
Mical2	7370	7810
Morc4	4409	872
Cldn7	1453	2848
Prss51	1086	8
Galns	2586	2276
Cldn12	4076	5503
Gm13304	867	0
Gm1987	870	0
Gm10591	867	0
Cldn18	3120	2854
Dlc1	8475	2737
Kat7	5966	5432
Ndrg4	3374	973
Nploc4	4685	7811
Nuak2	3132	1374
Pag1	8253	634
Abhd12b	1261	4
Acp4	1278	2
Ect2l	3610	0
Pak3	8988	924
Kcnmb3	720	0
Phc2	4357	10406
Plscr2	1900	1190
Tmc8	2908	676
Ccer2	1050	2
Cfap73	921	0
3425401B19Rik	5547	857
Gm5294	651	12
Tex50	954	0
Nek10	3348	8
Pet100	1193	546
Gm3336	1152	113
Gfy	1877	0
Tgfbr3l	1075	361
Pdzd7	3903	110
Cbarp	3294	1631
Tex13c1	2243	0
Fsd1l	9240	898
Kifc1	2322	1675
Bbip1	2506	1239
2300003K06Rik	919	0
Commd7	3288	1844
Cngb1	6686	42
H4c17	405	3
Islr	2355	1087
Fam240b	1097	0
Fam240a	899	0
Srsf7	2748	6205
Dclk2	4196	232
Tpbgl	3037	176
Gm5741	328	10
Smpd5	1885	305
Lrrc3c	902	0
Trpc5os	3581	0
Smlr1	674	202
1700015G11Rik	388	0
Dcdc2a	8040	84
Arhgap32	11101	1123
Epg5	11967	4192
Defa2	424	0
Rp1	12293	2
Ccdc170	5652	36
Prr22	1350	32
Nuggc	2566	20
Colca2	1263	132
Sgo2b	3739	0
Plscr5	1414	4
Tmem95	1198	107
Fam181a	1406	0
Gm5901	1183	0
Dcdc2b	1280	46
Alkal1	858	0
Rgs22	4008	4
S100a2	315	19
Lrrc74a	1949	0
Gprc5b	4525	7899
Pld5	3901	16
Unkl	5024	793
Vit	2720	22
Ccdc7a	1990	0
Cep43	3154	2131
Rcc1	2327	2472
Foxp1	7877	8315
H2-Q7	1536	0
Sulf1	4864	2276
Abi2	5974	1192
Nrxn3	9442	56
Map7	4195	1107
Postn	3406	19299
Aatk	6094	313
Ccpg1os	708	160
Ak1	2365	3195
AB124611	1307	369
Sfmbt2	9136	32
Frem1	9633	266
App	3357	58632
Ddr1	4075	9638
Coch	2683	4
Bcar1	3279	8832
Csrp3	973	5999
Ctbp1	2482	15410
Dctn1	4990	12331
Scgb2b7	517	0
Dync1i2	2787	10778
Adgrg1	3864	7619
Arhgef2	6355	10932
Myb	3777	28
Me1	3577	8901
Ralbp1	4340	6442
Gm7694	3833	1198
Itsn2	6216	4536
BC049352	1679	3
Syk	5272	4047
Tcof1	4629	4309
Tjp2	5376	15936
Gm15097	1998	0
Gm15080	2029	0
Vdac3	1423	5582
Rgs7	2568	8
Golga5	2902	3497
Dcaf11	2703	7369
Slc7a9	1984	8
Angel2	3919	2865
Pla2g6	3725	2883
Lgals8	3020	4317
Prrc2a	6858	21766
Tubd1	2070	206
Zfp942	3275	876
Rabgef1	2888	3394
Wdr12	3376	1739
Olfr1564	1091	0
4930522H14Rik	968	0
Trp53inp1	5432	6870
Slc29a1	3343	12572
Lpin3	3523	786
Ghitm	3313	15128
Spc25	1846	907
Macf1	23495	16881
Zmynd11	4747	8157
Gpsm1	3823	1374
Sncaip	3984	92
Opa1	6002	6958
Slc44a2	3764	13152
Ascc1	1578	1683
Snx5	2620	12411
Eva1c	2936	1568
Asmt	1191	6
Serpinb12	1736	24
Slc38a3	2726	13932
Agbl1	3369	0
Osbpl5	4158	3466
Sptbn4	9085	38
Kcnip4	2959	66
Maged2	2516	3131
Kat5	2816	3382
Epb41l2	4517	9323
Aldoart1	2052	68
Slc19a1	2390	2072
Gopc	4317	2243
Mat2b	2258	4329
Tnip1	3049	4311
Slc43a2	7232	2528
Tex14	4888	26
Acly	4427	15549
Cacng5	3834	0
Atxn1	10607	1796
Sult2a8	2243	20
Gm14440	3382	6
Gm4559	600	0
Cldn34a	636	0
Zfp94	2660	186
AI987944	2931	957
Gm20822	687	0
Gm20877	1212	0
Mup18	887	0
Gm10229	570	0
Scgb2b19	527	0
Apoo	1261	178
Foxp3	3928	31
Cd99l2	3600	3480
Rpl34-ps1	413	0
