Geneid	Length	genome_mapping/Low.6694c2.rep3.RNAseq.mm10.sorted.bam
Esp36	1117	0
Gm8882	916	0
Gm3985	2515	0
Slc8b1	2881	3680
0610010K14Rik	913	1868
Ak4	5162	1591
Ube2i	3377	16361
Arpp21	12429	5
Slc5a6	3889	921
Ect2	4117	7070
Slc2a6	2136	133
Slc45a3	3486	719
Grb10	5233	644
Sirpa	4349	4939
Gm5886	647	4
H2bc6	2510	258
Grin1	4372	35
Mrpl15	4201	3601
Sptan1	8080	82883
Golph3l	2841	5939
Gpr68	3361	101
Gal3st1	2608	418
Ablim2	3761	103
Homez	5826	853
Arfgap1	3025	6411
Cyp26b1	4849	793
Gm2897	1978	4
Madd	6217	8570
Nr1h3	2036	1851
Plch1	7011	4973
Gm10767	1652	93
Tsc22d1	5984	132980
Pfkfb3	5284	12617
Tnfaip8	3948	6715
Rex2	3998	0
Clcc1	3600	4303
Slco1c1	3210	0
Fbxw7	4751	3908
H60b	951	15
Ahi1	5094	700
Dlg3	5637	976
Rfpl4b	1054	0
Snap23	2223	6754
Sertad4	3401	284
Rgs20	2513	311
Afap1l2	4075	219
Taf6l	2499	784
Eif2ak4	5248	3044
Rapgef3	3834	1971
Wbp1l	4105	22138
Gm10324	1920	0
Smox	2262	16927
Otub2	3715	418
Frmd4a	7937	21900
Tirap	4868	4713
Asph	12476	13874
Olfr1053	943	0
Trim43c	1990	6
Sgo2a	5416	1004
Gps1	2161	7153
Phka2	5776	2526
Mfap3l	6824	46
Elavl2	4757	0
Igsf5	2277	1755
9830107B12Rik	3730	2
Rd3	4267	18
Zfp513	2476	2589
Eda	5111	34
Aamdc	893	587
Rpgr	6751	809
Gpm6b	5142	11698
Dcdc2c	3370	0
Naa10	1056	4030
4930480E11Rik	1486	0
Irak1	3955	13796
Acsm2	6738	2
Pde4b	6313	722
Zmym3	6051	10220
Prdm16	8611	1734
Sfxn3	3089	22875
Fmo6	1870	2
Txnrd3	2836	2171
Tfdp2	7645	6504
Rhox3e	648	0
Sult2a5	1046	0
Sult2a7	1102	0
Rhox13	1254	0
Wnk1	12052	62035
Gm5885	648	0
Ins2	583	0
Zpbp	3845	2
Wdr53	1420	771
Vegfb	1282	3837
Zscan4b	1754	0
Pfdn6	719	4494
Snx7	2171	5082
Psrc1	1773	501
Nup35	2873	990
Nrg3	4036	0
Rps27rt	345	0
Mrps36	716	1001
Gpr155	5022	478
Gm14326	3308	259
Clec4b1	784	10
Mfrp	4275	0
Clec4n	1245	2617
Chchd7	3066	1394
Igll1	870	0
Ces2a	1964	610
Frmd7	4708	550
Ccr6	2080	6
Ccm2	2104	4351
Tmem132b	7964	337
Gm4832	552	2
Naxd	1420	5694
Ankrd29	3256	141
Kcng2	2815	102
Adamtsl3	7285	1267
Camta2	4947	3945
Olfr596	939	0
Caly	1627	6
Bend7	3837	1883
Usp34	12200	6648
Amy2b	1413	0
Gas2l1	5403	8764
Magt1	4450	8981
Gne	5740	2379
Abhd11	1699	2177
Abcf2	2894	8859
Aamp	1820	11690
Faap20	1519	1973
Ddc	2089	361
Ddah2	1350	6074
Dcn	2104	3927
Dctn2	1925	12934
Hilpda	1106	14165
Dact1	3761	142
Dapk3	1824	3140
Dmpk	2876	1152
Dlk1	4811	20
Dbf4	2444	3799
Dcaf12l1	3534	12
Gm20594	334	4
Dcun1d4	4326	3387
Ddx19b	6750	4678
Ddx55	2799	2720
Dnajb11	3236	7988
Dnajc1	8583	6065
Jak3	4085	7516
Kat2b	4708	4735
Pdlim5	6812	35052
Kcne3	1718	535
Kcnip1	3243	68
Kirrel3	4908	1951
Axl	5084	84101
Kif17	3915	40
Lancl1	4461	3227
Ndfip2	2482	11384
Lins1	5243	1300
Lsm6	3801	5129
Sstr5	2733	0
Krtap22-2	380	0
Dync1i1	2802	4
Cypt14	508	0
Ddx43	2209	2
Lysmd4	3632	735
Mdga2	9834	0
Meis1	3441	954
BC048679	690	0
Lims1	5144	11315
Mical2	7370	36710
Morc4	4409	4304
Cldn7	1453	798
Prss51	1086	0
Galns	2586	3210
Cldn12	4076	5710
Gm13304	867	0
Gm1987	870	0
Gm10591	867	0
Cldn18	3120	851
Dlc1	8475	1190
Kat7	5966	12924
Ndrg4	3374	369
Nploc4	4685	13383
Nuak2	3132	1900
Pag1	8253	348
Abhd12b	1261	4
Acp4	1278	5
Ect2l	3610	2
Pak3	8988	321
Kcnmb3	720	4
Phc2	4357	28491
Plscr2	1900	342
Tmc8	2908	303
Ccer2	1050	0
Cfap73	921	3
3425401B19Rik	5547	248
Gm5294	651	0
Tex50	954	0
Nek10	3348	18
Pet100	1193	727
Gm3336	1152	108
Gfy	1877	0
Tgfbr3l	1075	250
Pdzd7	3903	576
Cbarp	3294	2615
Tex13c1	2243	2
Fsd1l	9240	444
Kifc1	2322	3007
Bbip1	2506	2051
2300003K06Rik	919	0
Commd7	3288	4398
Cngb1	6686	9
H4c17	405	130
Islr	2355	345
Fam240b	1097	0
Fam240a	899	0
Srsf7	2748	13909
Dclk2	4196	56
Tpbgl	3037	64
Gm5741	328	32
Smpd5	1885	700
Lrrc3c	902	0
Trpc5os	3581	0
Smlr1	674	50
1700015G11Rik	388	0
Dcdc2a	8040	60
Arhgap32	11101	427
Epg5	11967	8432
Defa2	424	0
Rp1	12293	22
Ccdc170	5652	18
Prr22	1350	40
Nuggc	2566	29
Colca2	1263	173
Sgo2b	3739	0
Plscr5	1414	1
Tmem95	1198	502
Fam181a	1406	0
Gm5901	1183	0
Dcdc2b	1280	33
Alkal1	858	0
Rgs22	4008	7
S100a2	315	8
Lrrc74a	1949	0
Gprc5b	4525	21211
Pld5	3901	26
Unkl	5024	1720
Vit	2720	22
Ccdc7a	1990	0
Cep43	3154	2761
Rcc1	2327	4351
Foxp1	7877	26060
H2-Q7	1536	0
Sulf1	4864	1493
Abi2	5974	2575
Nrxn3	9442	6
Map7	4195	515
Postn	3406	6880
Aatk	6094	189
Ccpg1os	708	174
Ak1	2365	1915
AB124611	1307	339
Sfmbt2	9136	60
Frem1	9633	214
App	3357	83151
Ddr1	4075	24552
Coch	2683	0
Bcar1	3279	14430
Csrp3	973	1605
Ctbp1	2482	27737
Dctn1	4990	28612
Scgb2b7	517	0
Dync1i2	2787	24153
Adgrg1	3864	5242
Arhgef2	6355	32866
Myb	3777	28
Me1	3577	14986
Ralbp1	4340	13060
Gm7694	3833	413
Itsn2	6216	5599
BC049352	1679	2
Syk	5272	3170
Tcof1	4629	9353
Tjp2	5376	36164
Gm15097	1998	0
Gm15080	2029	0
Vdac3	1423	13773
Rgs7	2568	0
Golga5	2902	5449
Dcaf11	2703	8256
Slc7a9	1984	10
Angel2	3919	4774
Pla2g6	3725	4248
Lgals8	3020	9188
Prrc2a	6858	53706
Tubd1	2070	231
Zfp942	3275	558
Rabgef1	2888	4153
Wdr12	3376	2507
Olfr1564	1091	11
4930522H14Rik	968	0
Trp53inp1	5432	6804
Slc29a1	3343	40089
Lpin3	3523	400
Ghitm	3313	28508
Spc25	1846	1268
Macf1	23495	26492
Zmynd11	4747	15487
Gpsm1	3823	3364
Sncaip	3984	24
Opa1	6002	9463
Slc44a2	3764	16043
Ascc1	1578	1817
Snx5	2620	27824
Eva1c	2936	2691
Asmt	1191	4
Serpinb12	1736	457
Slc38a3	2726	3755
Agbl1	3369	0
Osbpl5	4158	5981
Sptbn4	9085	42
Kcnip4	2959	41
Maged2	2516	4568
Kat5	2816	6168
Epb41l2	4517	17475
Aldoart1	2052	70
Slc19a1	2390	1731
Gopc	4317	3575
Mat2b	2258	7878
Tnip1	3049	9143
Slc43a2	7232	6658
Tex14	4888	14
Acly	4427	30837
Cacng5	3834	0
Atxn1	10607	5396
Sult2a8	2243	10
Gm14440	3382	0
Gm4559	600	0
Cldn34a	636	0
Zfp94	2660	297
AI987944	2931	677
Gm20822	687	0
Gm20877	1212	0
Mup18	887	0
Gm10229	570	0
Scgb2b19	527	0
Apoo	1261	178
Foxp3	3928	29
Cd99l2	3600	6469
Rpl34-ps1	413	0
Pnck	1676	156
Tmem164	7018	7667
Dnmt1	6325	12368
4931406C07Rik	2981	4649
Ei24	2376	6074
AW551984	4448	32
Pkn1	3538	8871
Fbxl13	2630	2
Camkk2	4889	6131
Vps37d	1544	306
Adgrb2	5497	43
Daxx	2874	3525
Topaz1	5177	0
Zfp839	3725	1712
Olfr1354	1095	0
Ift43	809	3086
Gask1a	3723	16
Mup16	881	2
Serpina3i	2193	52
Serpine3	1402	32
Pate1	389	2
Ankrd60	1102	1
Gm9839	1437	0
Ccl27b	1085	0
Gm2506	819	0
Gm11127	1344	27
Tac2	884	4
Tti2	5079	1965
Mup12	883	0
4933402E13Rik	2025	2
Mup14	926	4
Tmppe	6856	3247
Mup15	889	0
Mup17	886	0
1700013H16Rik	1224	0
Zfp963	2291	493
Pttg1ip2	710	3
Olfr612	972	0
Pifo	1127	0
Rubcn	5810	6908
Sbk3	3152	30
Gm16513	2901	0
4930415O20Rik	566	37
Krt83	1757	0
2410004P03Rik	1798	20
Msi2	6853	12965
Samt1b	984	0
Gm10662	1724	0
Tmem200b	1370	68
Ccdc136	4153	100
Nat8f6	1373	0
E330021D16Rik	1811	0
Hbb-bs	639	0
Cldn34d	1003	0
Apbb2	6937	15953
H2-Q9	1521	0
Papss2	3796	3509
Atp9b	5432	10934
Mapk8ip1	3461	435
Armcx4	9011	306
Crisp2	1469	13
C1qtnf1	4519	2622
C1qtnf3	2569	164
C1qtnf6	2428	1277
Rapgef4	7896	427
Spp1	1658	990807
Clec12b	1621	13
Clec16a	6244	2628
Clec1b	1170	42
Clec4a3	1330	455
Clec10a	1501	831
Hdac7	5216	11238
Cyp4f14	2420	177
Gucy1b2	2717	0
Oprk1	4707	0
Kcnj11	3252	399
Sprr3	1222	0
Myadml2	2307	42
Set	3101	52441
4930558K02Rik	1164	0
Recql	4782	1826
Zfp648	3644	0
Ifi207	3483	1384
Ptrhd1	4027	705
Gm20172	1551	0
Reep2	1926	48
Reep3	5550	13000
H60c	2817	0
Reep6	2016	1839
Retn	1286	5
Brd2	5025	44188
Sars	3704	23926
Cep85l	7361	654
Gm2696	783	0
Mptx2	694	0
Jagn1	1260	4123
Gm11568	1144	0
Gm19402	854	0
Gm10100	397	0
Gm19668	805	0
Gm10142	399	0
Eef1akmt3	699	6
Gm11544	1357	0
Jarid2	6158	3588
Acr	1567	2
Jdp2	1881	1337
Gm14295	1311	144
Jkamp	1976	5031
Jmjd4	4445	1138
Josd2	1180	1259
Pnoc	2157	2
Jph2	4255	296
Trim47	2195	5460
Scarb1	3100	4596
Tbx20	6892	216
Ssxa1	493	0
Zfp994	4880	343
Npy2r	3361	0
Ssxb6	522	0
Yes1	4608	3680
Yipf1	1322	2856
Yipf2	2177	1397
Iffo2	6214	11123
Abhd4	2698	12534
Ppp2r2a	4108	15500
Astn1	7224	0
Rxrb	2768	6065
Sorbs2	6867	10396
Cnot1	8914	26988
Cyb5r2	2772	17
U2af2	2202	17112
Nrxn2	6663	43
Arhgap27	5626	3487
Parp6	2714	3783
Kat6b	7337	5257
Fasl	1934	4
Gal3st2b	1185	4
Thsd1	4430	292
Gm14781	1360	0
Gm14496	2550	0
Tmem39a	2934	3908
Slc12a3	3299	10
Tyk2	4873	3983
Stat1	5356	1983
Scn10a	6420	0
Prl3d1	878	2
Map4	10320	34055
Arap3	5499	21537
Psat1	2491	10817
Ppfia2	6809	0
Papln	4375	187
Sun2	3809	18331
Lipk	2240	0
Gramd4	4447	22606
Dcun1d1	4745	2975
Clec9a	3294	19
Septin7	3238	14201
Golm2	4354	4061
Actr3	2746	43636
Atg16l1	3180	4546
Gprc5d	1385	8
Fam234a	2879	7110
Gsn	3031	28370
Mavs	3189	4259
Tmem200c	3213	0
2610528A11Rik	756	22
Smim18	587	7
Usp44	4149	2
Olfr426	949	0
Shisa8	1804	37
Fignl2	4208	1052
Gm16404	650	0
Gm14625	650	0
Rnf223	1541	14
Spx	1579	107
Ano1	4585	67148
Trnt1	3539	2650
Fam160a2	10986	6433
F10	2693	1508
Gon4l	7584	5600
Slc4a10	5786	2
Zfp976	5011	96
Trip10	2458	12992
Jmjd1c	9117	5130
Miga2	3649	2608
Susd6	5065	11141
Otulinl	3068	845
Slc37a1	3623	2530
Ammecr1l	5353	6228
Ncoa6	6872	10402
Nit1	1374	2344
Fam187b	2673	137
Gm7903	3836	0
Gm3317	1743	0
Zfp973	1335	0
Zfp965	1295	0
Gm3264	2008	0
H2al1b	490	0
H2al1c	318	0
H2al1d	318	0
H2al1f	318	0
H2al1g	509	0
H2al1h	442	0
H2al1i	318	0
Btbd35f3	1949	0
Spin2d	1015	0
Aadacl2fm3	1206	0
Col6a3	10841	6730
Btbd35f16	1960	0
Btbd35f15	1960	0
Samt1c	986	0
Samt1d	984	0
Zfp939	2494	289
Btbd35f27	1943	0
Gm16445	971	0
Gm4070	9036	0
Adk	1952	6957
Ap1b1	4543	11400
Dlg2	8022	14
Arntl	2929	2054
Atp6v0a1	4754	16257
Bcat2	2045	5220
Nr1i3	1414	481
Cav1	2767	44047
Zfp433	2532	0
Sema3a	7288	1326
Cep57l1	2387	557
A630095N17Rik	767	11
Gm3776	874	275
Gm11837	1028	6
AI182371	2892	443
Gm6408	1191	0
Gm3404	1130	0
Gm6370	1162	0
Gm3402	1154	0
Gm3409	1154	0
Gm3415	1177	0
2010315B03Rik	2759	547
Fam193a	5541	5559
Tspan2	4362	2060
Zfp981	3191	2
Gm13286	549	0
Gm13290	968	0
Alg11	4964	4285
Gm13289	968	0
Gm13279	968	0
Gm13288	2850	0
Gimap4	1810	108
Rgsl1	3745	6
4930444P10Rik	1844	3
Cacfd1	3474	3198
Gm4791	1021	0
Lactbl1	1954	0
Ccdc85b	4401	4639
Mif4gd	1840	2854
Itch	5389	9437
C87436	3198	1667
Rassf1	2130	3007
Ciita	5997	216
Clcn5	4353	3389
Cdc42	3004	40025
Esrrg	5933	72
C7	2709	22
Fam124a	3557	75
BC024978	2756	657
Gm14322	4057	19
Zfp383	2620	734
Trim34b	1535	4
Pramel42	2064	0
Btg1b	825	0
Vmn1r90	930	0
Pax6	4761	14
B4galnt1	3289	5590
5430401F13Rik	602	0
Gm8765	3109	0
Esp15	1169	1
Gm9573	5231	0
Gm10377	847	0
St18	6161	14
Faiml	785	0
Esp18	1257	0
Celf1	7965	30549
Sall2	5336	3154
Col25a1	7481	0
Lcp1	4337	6731
Zkscan8	8899	2326
A630023A22Rik	1334	97
Ms4a18	1385	0
Ggnbp1	1784	306
Gm38425	1688	0
Esp3	1316	0
Ly6c1	1645	661
Cacna1a	7929	1229
Gga3	3681	3300
Dnah7a	12272	0
Greb1	8260	179
Hs3st4	3230	0
Zswim8	6073	24921
Zfp384	3665	8667
Rbmxl1	2391	5394
Etfbkmt	1690	1249
Cadps2	6043	97
Tmem106c	1635	3100
Epn2	5960	24059
Eya1	4345	12
Amz2	3082	3442
Map4k4	5974	51952
Kcnj16	4027	6
Rpl31	1253	24334
Nbr1	5133	18266
Nf2	5298	10948
Npm1	1718	67360
Ica1	2075	1215
Ogdh	7106	17879
Mest	2777	448
Tafa5	2908	147
Ncor1	11144	21116
Shmt2	2305	6247
Pan2	4453	2827
Slc6a15	3774	2
Septin8	6080	12967
Syt1	5192	10
Rundc3a	3050	721
Mybpc1	3981	435
Nt5c3	1779	6612
Irf5	2646	1091
Slc25a19	2792	1393
Tafa2	4610	104
Tle2	3115	758
Rpain	1214	1111
Dlg1	6111	19065
Mgrn1	4262	9288
D16Ertd472e	6160	2172
Phldb2	5891	17717
Tfg	1989	10271
Ppil2	2470	6466
Vrk2	1891	695
Strada	2543	1880
Cldnd1	2209	7231
Pou5f1	1443	0
Ptprs	6977	51668
Epn1	2568	14462
Ddx39b	1758	25321
Prkd2	3757	2136
Cyfip2	7029	91
Mlst8	3366	1303
Ranbp3	2822	8846
Bag6	4320	30616
Cpt1c	2797	125
Sh3gl1	2319	9062
Cd84	6253	1355
Tjap1	2595	4789
Prmt1	1508	17648
Slc30a6	2171	2287
Cmtm7	1137	1473
Marchf2	3966	4143
Smad2	9142	11664
Inca1	1377	195
Catsper3	1352	6
Osbpl1a	5306	2479
Rapgef6	11963	5393
Sorcs1	8349	0
Aftph	4045	6591
St6gal1	4836	27479
D430019H16Rik	5786	60
Lipi	2082	0
Ehbp1	5048	1081
Hfm1	5312	0
Nono	2468	46493
Zfp82	3396	650
Picalm	4193	34598
Cpeb1	3386	497
Pqbp1	1334	4298
Slco2b1	4988	1104
Llgl2	3614	2045
Cacnb2	4450	621
Ciz1	3294	7746
Cyp4a31	2509	8
Sec23b	3220	7386
Sh2d3c	3681	1333
Cybc1	2590	5165
Folr1	1407	0
Gstz1	2166	2576
Mllt10	7692	7004
Rad51b	2837	1132
Matn4	2571	31
Oprl1	3314	12
Sez6l2	3799	64
Phyhd1	1793	2252
Serpina1a	1939	3272
Cttn	3223	62010
Slc35c2	2109	3753
Klra4	971	0
Sulf2	4186	17472
Usp8	4210	13220
Zfp410	5439	5408
Zmynd8	10113	17125
Tspan4	1569	12831
Smpx	1129	217
Cars	3222	14644
Irf7	1859	851
Fut8	3982	26132
Spock3	3280	42
Csgalnact1	4584	6077
Ptgr2	3290	6164
Cdh16	3318	369
Smn1	1404	3662
Cdh23	11255	135
Tbc1d7	1261	978
Hrh1	4445	921
4833439L19Rik	2674	12364
Csf3r	4047	742
Ecm1	1900	64652
Kcnab2	3888	800
Ldlr	4533	16486
Albfm1	2241	86
Dmtn	4917	284
Smr2	813	0
Dhx30	4500	7812
Smc5	5868	5646
Fam214b	3495	5148
Kcnma1	7836	45
B4galt2	2522	2521
Serinc2	5550	7951
Mtfr1	3817	9008
Smarcad1	5542	5275
Slc7a7	2676	5201
Immt	2761	24753
Trpc4	4992	6
Dnajc12	1365	218
Patz1	3482	3488
Elmod3	2788	1193
Zfp219	3317	11928
Elp5	1435	3937
St7l	5990	3819
Mbnl1	5884	12118
Msra	2135	2308
Atg7	4144	8622
Fstl5	4956	0
Ints9	2709	2773
Pdlim2	1651	1678
Fcer2a	2358	7
Tpm3	3340	77633
Fdps	1461	16461
Zmym5	5541	5219
Gpm6a	3554	24
Tdrd3	6139	4041
Anp32e	3260	20445
Enox1	3555	33
Ssx2ip	3701	2529
Prlr	13415	174
Def8	4107	3943
Tarbp2	1790	2543
Smim22	477	76
Slc12a4	3832	18856
Ywhaz	3919	95671
Racgap1	3065	11429
Elp3	3042	9020
Ano6	5711	52228
Ankle2	5259	7430
Tmem184b	3550	12982
Irx3	2363	9809
Atp2c1	5278	12401
Fibp	1240	6259
Prpf19	6333	31394
Cbll1	4007	2060
Tmem52	968	8
Tet1	14354	22
Scn5a	8547	747
Tcf12	5061	13173
Tmem205	1102	2855
Itgal	5225	664
Mtf2	5261	4181
Pkm	3828	341654
Apbb1	3322	1707
Tssk4	1420	117
Prkar1b	3076	192
Slc4a2	4178	24589
Ecsit	1673	1211
Ncor2	8908	30711
Nat8f7	1276	0
Sez6l	6080	10
Akt1s1	3160	6444
Efcab15	1199	0
Lce3e	607	0
E030030I06Rik	2292	111
Il15	1285	208
Echdc2	1307	1666
Lce1k	663	0
Rnf128	3294	9279
Mospd3	1634	2121
BC035044	2612	38
Zfp850	6546	244
Ankrd66	1321	31
Esp16	1243	0
Gm1553	662	0
Ubox5	3884	1147
Gm5071	1035	0
Gbp4	4761	101
Bmp8a	2400	35
Hsf4	1753	508
Esp24	433	0
Esp38	375	0
Rslcan18	2981	108
Eif3j2	2409	0
9330182O14Rik	2053	0
Krtap16-1	1891	0
Ccdc149	3385	971
B020004C17Rik	2385	0
Gm5141	3279	48
Scgb1b29	404	0
7530416G11Rik	1161	2
Scgb1b3	419	0
Myo7a	7606	6876
Rnf6	3626	8069
Dtx2	2737	2620
Mtif3	5157	1340
Slc10a3	2021	981
Mib2	4020	2571
Mtfr1l	2499	7060
Sun1	4133	14351
Nipa2	3989	3360
Fsbp	4572	27
4933402D24Rik	1756	13
9430069I07Rik	572	4
A630076J17Rik	666	17
BC107364	1159	0
Gm5108	543	0
Eif4g3	8611	13918
Wnt5a	6305	2441
Samt2b	919	0
3110082J24Rik	767	0
Smbd1	520	0
E030018B13Rik	1015	45
LOC666331	472	0
Rims2	7940	486
Agap3	4126	11694
Epha10	5905	1
Gm4724	4538	0
Gm38423	1237	0
9030624G23Rik	5293	16
Zfp995	2221	264
Gm10408	1571	0
AI837181	1545	4926
Zfp672	3643	743
Tmem250-ps	2683	5192
Gm3488	4082	0
Gm3500	1982	0
Usp17le	1885	0
Rpl31-ps12	484	4
Zfp811	3555	8
Kcnj12	4886	140
Ankzf1	3050	2126
Gfi1	3107	40
Ttc28	10687	2187
Dpf3	3772	4
Ctss	1360	11567
LOC100861978	1044	0
Slco1a5	2698	22
Eef2k	6716	5239
Asb13	2410	946
Igip	1378	826
H2-L	1064	9
Fign	9968	88
Zdbf2	13128	10
Ccl21d	867	0
Olfr1565	1084	0
Lce3d	560	0
Gm10681	1645	0
Gimd1	4159	1421
Gm20878	377	0
Gm21586	377	0
Ccdc30	4712	60
Pramel47	2299	0
Pramel50	1594	0
Mical3	9938	12711
Gm10228	550	0
Gm19345	998	95
Gm6902	1414	0
Tmem254b	1551	0
Tmem254c	1644	0
Plac9b	998	0
Cphx2	1662	0
Gm10256	1580	0
Gm10352	1580	0
Gm3376	1580	0
Gm21677	1580	0
Gm21693	1580	0
Gm21704	1580	0
Gm21708	1580	0
Gm4064	1580	0
Bin2	1981	403
Scgb2b3	367	0
Scgb1b7	421	0
Scgb1b20	420	0
Gm21119	2514	0
Defa33	427	0
Ascl5	567	0
Defa36	398	0
Gm21312	1246	0
Gm20765	1246	0
Prob1	4875	223
Btbd35f23	1904	0
Btbd35f21	1921	0
Gm21637	778	0
4930402K13Rik	1781	0
Ifitm7	865	0
Gm21319	1863	0
Iba57	4567	570
Gm2042	1840	0
Gm5795	971	0
Gm3411	1991	0
Gm3558	2055	0
Gm21293	1217	0
Gm6763	1217	0
Gm8764	1217	0
Gm21304	1217	0
Asxl2	9033	6693
Adam9	4039	36580
H2-T-ps	1289	66
Ube2w	4177	3814
Calcoco2	2029	0
Siglecf	2510	110
Olfr631	1550	0
Fbxw11	4494	13589
Cbs	2503	2409
Flcn	3854	6094
Arrb2	1988	2795
Prl8a6	1125	0
Hdac9	10866	531
Ankra2	3281	3401
Nol8	4827	1705
Ephx2	2588	4011
Sorbs3	3453	1819
Nfam1	4298	1052
Ly6a	1002	4570
Ager	1699	219
Haghl	2188	1317
Ndufs8	1027	5246
Enox2	3977	1060
Gabpb1	5702	3688
Scube1	7932	46
Pglyrp2	2877	442
Clip4	5117	311
Chka	2687	17413
Il15ra	2021	260
Insig2	2953	5519
Spag16	4892	0
Myh14	6583	2186
Cnot7	3162	11726
Slc4a9	3436	248
Gm715	1209	0
Aire	2026	0
Cdc7	3241	731
1700065D16Rik	758	4
Tktl2	6446	0
Trp53tg5	931	28
Sec1	2470	113
4930426D05Rik	1621	0
Dnajc5	4533	23336
4930451G09Rik	2833	42
Eps8	4936	33366
Rpl37rt	753	1426
Sort1	6930	1574
Socs1	1339	319
Ackr3	2319	10321
Fen1	2597	3875
Fgfbp1	1248	140
Gja3	2893	8
Gja5	3180	28
Ifi47	2013	708
Wnk3	10400	6
Kcns2	5586	0
Pgf	1682	2604
Lrrn3	3520	14
Mc2r	1860	0
Surf1	1218	2920
Trim2	8234	3854
Tk1	1369	5009
Xbp1	2247	16703
Dnmt3a	9947	8076
Wnt5b	2654	126
Adra1a	4871	23
Bhlhe41	6124	12639
C8g	1236	237
Rchy1	2460	5306
Agrp	863	33
Pcdh11x	8782	6
Aqp9	3113	559
Add2	9756	44436
Ano10	2653	5277
Ano5	7818	12
Vmn2r124	2568	0
Ano7	4019	73
Acox1	4153	21995
B3gnt9	2516	295
Eya2	2758	5554
Fut1	2580	4
Fut2	3059	559
Scnn1b	2847	6
Sema6c	4186	513
Arvcf	5040	940
AA414768	1669	284
Slc33a1	3121	5292
Acta1	1571	3033
Ces2h	1700	0
Ada	1704	795
Adam5	3130	34
Trim24	6435	4740
Abhd10	2890	917
Trem2	1146	1212
Tysnd1	2286	2011
Fabp5	953	2609
Cp	6265	43547
1110025L11Rik	593	0
Aip	2098	7837
Brat1	3485	2504
Tle5	1505	21930
Wwp1	6497	3211
Avpr2	1812	10
Ampd3	4927	1964
Cdkl2	4576	730
Cyhr1	6517	8741
Ms4a2	2815	4
Epc1	4651	6565
Setmar	1770	204
Kcnip2	2491	250
Camsap1	8077	9642
Spns2	3404	4866
Ebf2	5714	52
Ube2dnl1	743	0
Ube2d2b	1616	14
Ippk	4858	3442
Rad21l	1659	0
Lef1	3969	36
Fn1	8425	1048556
Fgf12	8457	0
St6galnac4	3994	3224
Acy1	1446	1069
Tlr1	3054	360
Alad	4601	2658
Lcn6	808	0
Ahsg	1514	26514
Slc17a5	3241	2553
Slc19a2	3571	3532
Asap1	6479	20653
Vps13d	15849	16603
Cited1	1519	23
Dag1	5961	30605
Ism1	2965	648
Syt6	5343	47
Arc	3059	5034
Nxf1	4049	19392
Agxt	1553	406
Ackr2	3012	73
Dst	30301	42008
Zc3h11a	4883	25208
Fer1l5	6419	691
Cops5	1739	8624
Crlf3	2396	3314
Rpl22	2497	41528
Hnrnpr	8165	9363
Gm867	1228	0
Chd7	11306	6419
Fam205a1	4146	0
Gm1966	8980	164
Fthl17-ps1	860	0
Ano4	4222	14
Clec2f	657	28
Bmpr1b	6199	28
Crk	6005	24495
Zbtb24	4293	1164
Crkl	5050	8775
Hoxa9	3229	8
Zmat4	4231	2
Acvrl1	3788	514
Spred1	7084	22713
Tbxa2r	2175	29
Adam17	4550	9307
Fgf5	2504	0
Fancl	1782	543
Foxn1	3264	10
Grip1	6398	419
Adck1	3472	798
Mea1	1195	3558
Pex5	3306	8034
Aldoart2	1692	10
Gm11239	1240	0
Gm11238	1240	0
Gm11236	1240	0
Gm11237	1273	0
Cav2	3350	21412
Treh	2048	56
Tmem216	1166	1377
Dazl	2964	0
Tpm2	3326	12118
Fkbp6	1792	0
Prkaca	2502	11068
Tnnt1	1030	142
Gm11780	1685	0
Ecel1	2985	0
Lamb3	4164	12605
Casp9	3899	2990
Rad51d	7705	1731
Apoc2	813	24
Sh3gl3	1648	143
Taf1a	2482	1772
Ly9	2591	220
Itga6	6018	91001
Tmem247	755	0
Snap91	4738	18
Meis3	1774	1638
Stk16	2905	4232
Chrd	3504	690
Farsb	2539	6245
Ube2t	1133	726
Hbb-b1	631	0
Pih1d1	1424	3057
Disp1	5208	2271
Dmc1	2219	5
Prnp	3732	3096
Prn	3400	0
Fyb	4997	1155
Gm44504	1187	3
Rcn2	2607	9560
Ndufv2	1637	7026
Rab18	3688	18194
Rtl5	4330	1239
Cryaa	1214	0
Pomc	1325	8
Tnf	1653	779
Umod	2637	0
Kbtbd12	4628	89
Olfr1290	1286	0
Abca16	5240	0
Mroh2a	7502	69
Gm10267	345	0
Psme2b	1059	323
Gm1110	2385	0
Cdc20b	1560	0
Syngap1	6027	634
Lce1j	698	0
Scgb2b12	511	0
Speer4c	1190	0
Gm10354	795	0
Gm21671	804	1
Gm1979	804	0
Scgb2b15	425	0
Scgb2b17	425	0
Gm5862	804	4
Scgb1b19	282	0
Gm7361	804	4
H2ab2	348	0
H2ab3	645	0
Cldn34c4	820	0
Plcxd1	3547	127
Ace	5303	30127
Ifi27l2a	883	639
Anxa8	1879	58155
S100a9	524	697
Aoah	3191	710
Cysltr1	2979	258
Pbdc1	3423	2594
Sema4d	6040	3572
Gria3	5663	43
Pcsk7	4160	3459
Crtam	1939	8
Csmd2	13555	0
Itk	4671	0
Glrb	3253	50
Ctla4	1933	30
Invs	5900	1509
Mup9	882	0
Lrmp	2907	795
