Geneid	Length	genome_mapping/Low.6694c2.rep3.RNAseq.mm10.sorted.bam
Ang6	714	0
Rnase11	713	0
Trex1	1137	0
Olfr857	930	0
Olfr835	936	0
Olfr1513	942	0
Birc5	3416	3842
Slc39a12	2676	39
Hsd3b3	1826	86
Defa23	418	0
Nsrp1	3116	1760
Slc25a47	1580	1653
Pgbd1	3580	124
Sctr	1922	6
Mup20	886	41
Ecm2	3596	81
Zfp708	2634	213
Zbtb18	5705	5934
Mdk	1403	91
Slc2a9	3865	622
Bpifb1	1712	0
Hacd1	1008	2166
AU022252	1867	886
Hspb6	1853	2363
Hs3st6	1358	12
Ankrd6	5296	13
Cxcl12	7161	1390
Fut10	5095	815
Ehmt1	5107	9740
Klri1	838	3
Rims1	6949	0
Acd	1718	3243
AY761185	486	0
Smim19	1459	2625
Wfdc13	1074	0
Wfdc16	1121	0
Wfdc6b	807	0
Aym1	528	0
Adcy5	7026	207
Ear12	471	0
Zfp787	3027	2629
Dhrs7c	1124	303
Lrrn4cl	2600	217
Odf3b	1040	36
Mterf1a	1376	207
Usp13	4686	370
Tgfbrap1	5719	4000
Ttf2	4541	3587
Tmem263	3778	3570
Ctc1	4167	4616
Npcd	4873	0
Osm	1907	566
Wdr91	2637	2654
Prkaa1	4655	6377
E2f8	3880	3050
Pfdn4	1059	2697
Sesn1	3339	1915
Dtx3l	5181	2389
Nrp	1170	162
Tmprss13	3244	0
Lman2l	2290	2743
Utp18	2613	4242
Rpp38	1027	588
Arhgef39	2402	710
Uspl1	3934	5271
Zfp930	2996	837
Dync1li2	4633	19442
Rsad1	4151	1752
Lrrc52	1137	0
Podnl1	2080	998
Grm4	5265	2
Rasl10b	4010	48
Zfp182	5944	613
Mrs2	2161	1937
Scn4b	4757	34
Cpsf6	6572	9531
Gm11487	1323	0
Tcaim	3039	654
Nkain2	3745	21
Ccl26	282	1
Neurl4	5267	6401
Ric8b	4962	2565
Olfr112	1672	0
Inip	3216	2411
Pard3	8550	13941
Vmo1	672	2
Ercc6l2	6161	2936
Tex24	1767	0
Trim6	3827	265
Ddn	3740	22
Zfp57	3228	8466
Tmem151b	4851	587
Gm597	2882	0
Syna	2918	26
Pcdh17	9509	77
Gm9949	984	36
5730409E04Rik	2855	1181
Grhl3	2791	4
Vwde	6597	8
Lingo3	3559	4
Gas2l2	2943	2
Cldn34b3	1010	0
Gmnc	4734	0
Gm4952	1609	65
Ces1a	1979	1
Zscan4c	2276	0
Samd3	3554	4
Capn11	2575	0
Rsl1	2045	486
Lipo3	2842	126
Gm973	4375	4
Nxpe5	2312	925
Kpna7	2328	0
Fbxw24	1490	0
Zfp488	4301	2
Tvp23a	3313	116
Aim2	2537	499
Slc25a34	2682	194
Fam71b	2190	0
Ccdc92b	4002	54
Akr1c19	1242	1049
Zscan26	4362	4265
Vmn1r209	939	0
Otulin	1489	2878
Spink6	777	0
Mettl21c	1086	2
Macrod2	5041	312
Flg2	7671	0
Ankrd13c	4317	7491
Gm5591	3441	0
Fam169b	2876	86
Maml2	6139	4704
Amt	2047	458
Gm5622	1581	0
Sp140	2416	287
Slc22a28	2004	0
Krtap4-16	951	52
Gm5662	1842	0
Dupd1	1103	4
Shf	1928	6405
Gpr31b	960	8
Prkg1	7378	91
Dyrk2	2137	2869
Adgrf3	3099	7
Fbxw22	1824	0
Zfp985	2827	0
Trcg1	2701	25
Abi3bp	4742	364
Scn2b	4562	23
4930404N11Rik	695	0
Zmynd12	1505	15
Snx13	6226	4404
Ttll4	8164	6732
Espl1	6684	3639
Wdr7	7108	3471
Fam189b	3240	2675
Cenpj	4363	705
Klrh1	2000	0
Zfyve28	3980	20
Rap1gap2	7238	9464
G2e3	6726	3503
Dcaf1	5697	6154
E130308A19Rik	5481	1523
Tyw1	6626	4052
Taf9	1334	5189
Arid3c	1751	5
Gm21943	1206	0
