Geneid	Length	genome_mapping/High_6556c4.rep7.RNAseq.mm10.sorted.bam
Niban3	2452	132
Zfp712	3970	24
Mgll	4628	1014
Cspg5	3871	6
Ccdc33	3677	26
Serpina11	1489	1386
6030458C11Rik	5474	1087
Fgf8	1636	0
Fam219b	3055	571
Fam122b	4334	253
Fkbp2	825	1
Trmt112	1032	1785
Zfp638	6470	1947
Marchf1	4822	242
Ms4a6c	2052	995
Armcx1	2465	101
Rad52	1978	410
Rbmy	1731	0
Sp4	9017	544
Ptp4a3	4671	2333
F13a1	3927	2510
4931428F04Rik	3553	416
Armcx2	3778	288
Rab3a	1562	367
Tnfaip3	4595	2856
Kif20a	3905	1970
Rai14	5114	5007
Rbm3	3582	12250
Arhgef25	2938	479
Rfx3	9427	323
Med23	4946	1360
Hnrnpf	2990	6963
Tbc1d25	2516	754
Slc25a14	1927	221
Pls3	3574	10802
Slc38a1	8391	726
Brcc3	4998	1011
Spock1	6673	0
Vmac	2276	504
4930407I10Rik	4673	0
Hmga1b	1599	0
Ssr4	922	3394
Mthfsd	7208	1101
Rasgrp3	4931	252
Zpbp2	1639	0
Zfp983	4593	178
Dennd1b	8313	1220
Slc39a11	3174	1553
Sec14l1	5713	4309
Sfmbt1	8122	680
Eif4enif1	4230	2717
Zbed6	5007	2349
Rnf145	7238	2522
Abca6	5719	2115
Depp1	1317	1887
Thoc2l	9445	1049
Tead1	9905	4342
Eif5a	2017	25392
Dgkz	4373	5146
Gm16430	700	0
Fmr1nb	930	4
Rbmx	3743	1205
Ccr9	4392	16
Dynlt1f	1163	286
Dynlt1a	4945	19
Dynlt1c	693	21
Havcr1	2098	0
Large2	2665	177
Gm4302	927	0
Mid1ip1	2059	4056
Gm4312	914	0
Gm4301	914	0
Gm4303	910	0
Gm4305	910	0
Kat14	3751	1829
Gm4307	910	0
Bcas3	3656	1017
Zfp651	6353	1198
Zfp882	5651	106
Gm16405	700	0
Zfp280c	5223	999
Klhl33	7543	156
Cdkl3	3697	159
Cdr1	2313	0
Ccdc85a	5595	78
Gemin5	6214	1519
Gm14548	2183	0
Cep95	2727	423
Cfap77	931	10
Vmn1r55	933	0
Vmn1r123	924	0
Vmn1r119	924	0
Vmn1r207	939	0
Vmn1r7	936	0
Vmn1r249	924	0
Vmn1r151	918	0
Vmn1r244	918	0
Vmn1r122	918	0
Vmn1r120	918	0
Vmn1r113	924	0
Vmn1r173	942	0
Vmn1r34	930	0
Vmn1r39	918	0
Vmn1r176	915	0
Vmn1r170	915	0
Vmn1r94	918	0
Vmn1r160	924	0
Vmn1r129	924	0
Vmn1r127	918	0
Vmn1r175	915	0
Vmn1r1	921	0
Vmn1r31	912	0
Vmn1r77	921	0
Vmn1r60	903	0
Vmn1r61	903	0
Vmn1r57	933	0
Vmn1r224	897	0
Vmn1r91	924	0
Vmn1r103	918	0
Vmn1r104	924	0
Vmn1r128	924	0
Vmn1r125	924	0
Vmn1r121	945	0
Vmn1r118	921	0
Vmn1r117	924	0
Vmn1r116	924	0
Vmn1r115	888	0
Vmn1r111	921	0
Vmn1r135	924	0
Vmn1r139	894	0
Vmn1r142	918	0
Vmn1r143	924	0
Vmn1r254	918	0
Vmn1r152	924	0
Vmn1r155	924	0
Vmn1r157	894	0
Vmn1r163	924	0
Vmn1r260	924	0
Vmn1r124	924	0
Vmn1r159	918	0
Vmn1r107	924	0
Vmn1r79	921	0
Vmn1r101	924	0
Vmn1r114	966	0
Vmn1r126	966	0
Vmn1r131	921	0
Vmn1r149	924	0
Vmn1r158	924	0
Vmn1r168	930	0
Vmn1r169	915	0
Vmn1r100	924	0
Vmn1r112	894	0
Vmn1r130	924	0
Vmn1r137	924	0
Vmn1r165	924	0
Vmn1r245	924	0
Vmn1r255	924	0
Vmn1r240	924	0
Gm16451	924	0
Vmn1r252	921	0
Vmn1r242	921	0
Vmn1r251	924	0
Vmn1r241	924	0
Vmn1r257	921	0
Vmn1r243	924	0
Vmn1r253	924	0
Gm10665	966	0
Gm10670	966	0
Vmn1r256	921	0
Vmn1r246	921	0
Vmn1r258	942	0
Vmn1r247	942	0
Vmn1r259	918	0
Vmn1r248	918	0
Vmn1r166	921	0
Vmn1r138	921	0
Vmn1r2	921	0
Vmn1r3	921	0
Vmn1r86	951	0
Vmn1r88	951	0
Vmn1r95	924	0
Vmn1r238	921	0
Vmn1r184	945	0
Vmn1r196	906	0
Vmn1r221	939	0
Vmn1r186	903	0
Vmn1r187	903	0
Vmn1r250	966	0
Tcp10c	2528	0
Pate8	330	0
Pate12	574	0
Gm5916	1142	0
Pate10	758	0
Pate3	1330	0
Spata31d1b	4281	4
Spag7	1161	1729
Pate7	643	0
Rhbdf2	3842	2549
Sirt4	1798	324
Gpr19	2948	170
Serpina3a	1864	1
Rad18	3194	579
Chchd6	1126	367
Slfn8	4011	118
Wasl	4858	4965
Dnah17	14889	87
Egfem1	3644	30
Vps50	5862	1137
Ankrd7	1191	0
Ift122	4067	953
Ldah	4137	1299
Rbm10	3702	1942
Asxl3	11697	12
Defa17	411	0
Stx5a	2264	2380
Trim30d	3758	133
Dennd10	2391	1174
Zfp764	2508	271
Wipf3	4436	211
Cyp2c50	2932	1673
Skint5	4497	0
Garem2	3832	23
Ankrd50	8496	9836
Kmt5b	9268	3849
Nrg2	6221	83
Frem3	6626	0
Cd101	4636	100
Ppp1r3e	1852	116
Nme8	2087	0
Mbtps1	4374	7909
Smok2b	2305	0
Atxn3	5404	1386
D830031N03Rik	8311	1220
Slc8a3	5068	20
Gtf2e2	1802	1185
Col6a5	9297	42
Minar2	1941	8
Zyg11a	2416	62
D6Ertd527e	2227	50
Mau2	7683	5222
Zkscan5	3810	808
Zfp821	2614	883
Atp2b4	8292	1079
Ankrd10	4765	2346
Slc25a21	2766	12
Galnt7	4523	1810
Sipa1l1	7699	3142
Hook2	3303	3321
Trmt2b	3638	932
1110032F04Rik	2578	10
Tex11	3594	18
Knop1	5612	3402
Clec2g	2664	10
Morf4l2	2480	9483
Irak1bp1	1893	153
Syce2	1373	385
Rmi1	3877	318
Mtbp	4451	590
Fam83h	4628	2024
Tmem40	1470	26
Sec24c	4515	6394
Gsdmc2	2312	0
Zfp647	2298	139
Jazf1	3098	38
Wwtr1	4784	6354
Arhgap39	4583	706
Pdss2	2031	326
Sugp2	4451	1287
R3hdm2	4799	3888
Ephb1	4667	40
Fbxo30	5114	1024
Cdk19	5807	1812
Scara5	5596	709
Bcor	8312	2198
Tinagl1	2175	10369
Btbd35f2	1949	0
Btbd35f5	1950	0
Nfatc4	4019	439
Kcnj1	3268	0
Bnipl	1788	26
Tyw3	4404	195
Ccdc7b	1747	5
Usp19	5218	5461
Phf14	4479	1857
Ccdc125	2705	456
Ramp1	3022	441
Ankrd55	3577	55
Spink13	795	0
Ube2m	1567	2835
Emc6	1436	1519
Dynll2	2819	4165
Ttc23	5267	659
Men1	3040	1881
Pdcd4	2556	1280
Plscr3	3152	2731
Ncmap	2151	470
Olfr78	3496	6
Shoc2	4338	3271
Zfp574	5074	1036
Tmem11	1511	1499
Mapk14	3788	4870
Ffar2	2826	102
Rpgrip1	5213	17
Zdhhc24	2562	471
Sarm1	5164	18
Sgms1	5015	2122
Cdadc1	4479	942
Btbd8	8291	444
Zfp446	4914	229
Kcns3	3059	44
Ctps2	5962	1620
Nat2	1499	350
Tceal8	2358	490
2010106E10Rik	1287	0
Lonp2	2944	3324
Gnl3l	4877	2060
Tifab	3498	475
Enpp5	4863	620
Znrf1	5562	3360
C2cd4c	6754	181
Lrch4	3081	0
Socs2	2698	2127
Ccdc127	8615	1608
Apol9b	1595	481
Fam114a2	2611	2271
Gtse1	2780	759
Tspan8	1522	9711
Tmcc3	6415	1331
Endou	2718	42
B3gnt2	2818	1633
Tent4a	3997	2157
Cd300lf	1892	1562
Ube2h	4779	3500
Clec4a2	2616	343
Mlf2	1544	9388
Cd163	4492	1423
Tmem229b	4287	226
Slc35b3	2226	844
Ppfibp1	5194	8796
Tada2b	3791	1057
Borcs5	1937	436
Arpc4	2271	4340
Tprkb	3342	1490
Aplf	3282	336
Mef2c	7152	596
Btf3	1129	9981
Krit1	6414	1373
Prkag2	3952	1247
Nfu1	955	1315
Fcamr	1911	32
Slc17a1	2832	140
Rnf144b	4694	2668
Pde8b	5155	68
Elmod2	4709	764
Rcbtb2	3856	1311
Dthd1	2905	6
Asb8	2278	1525
Wdr59	5222	1544
Ctbp2	4777	2544
Magi2	7233	97
Asb14	2021	301
Mthfd1l	4332	2264
Rbm20	6592	876
Luc7l2	9301	7190
Klra2	1886	193
Mndal	1936	176
Trim36	4851	45
Wdcp	3173	197
Ncald	4830	500
Pym1	1491	809
Trim43b	2262	7
Trip4	7162	805
Prr13	1229	5031
Trim66	9649	14
Olfr1507	1679	0
Plppr3	4275	688
Rnmt	5270	1988
Defa27	282	0
Pde6c	2963	6
Dtwd2	3145	142
Wdr33	8062	3171
Dbndd1	2637	117
Abat	4635	1597
Hnrnpc	4037	6734
Kirrel	7076	6506
Ahcyl2	5653	4244
Degs2	3574	753
Mgam	11855	759
Prkd3	6133	2954
Nod1	4415	1047
Slc14a1	3995	339
Il4i1b	2300	1
Os9	4049	9374
Tmbim6	2803	30872
Mta3	7921	1590
Yap1	4169	3812
Mal	2778	3542
Obscn	28034	6035
Myt1	6395	0
Actl10	1501	0
Bag1	1349	5922
Triqk	1501	24
Bdh2	1171	39
Lman1	3714	6045
Lrrc56	2909	179
Senp8	3904	96
Vmn1r68	960	0
Ttc4	2762	1119
3110009E18Rik	1089	42
1700001C19Rik	1895	82
Depdc1a	3323	170
Kdm4c	4401	903
Cacul1	5790	3428
Strn3	4164	3016
Cuedc1	3189	1759
Rnh1	2015	11133
Zbtb25	1777	415
Gramd1c	4092	246
Dhrs7b	1582	844
Traf7	2735	4844
Hck	2092	357
Rbms3	8215	601
Aimp2	1185	2299
Rbm41	6759	402
Wdr17	7876	2
Dnase1l1	1614	805
Dis3l2	3171	692
Flrt3	4537	667
Arid5a	5794	995
Lrtm2	3679	146
Fam221a	2095	45
Dhrs3	2576	2403
Sphk1	3054	2793
Aspn	2351	396
Sphk2	4163	1180
Mrgpra2a	1271	0
Olfr376	1210	0
Fxyd4	554	7
Sirpb1c	1456	124
Sirpb1b	1496	69
Rlbp1	2422	0
Thpo	2512	335
Map1a	11912	358
Taz	1833	1659
C5ar1	2570	815
Cacna2d2	5542	4
Camk2b	4166	1468
Smarca4	6475	7497
Shisa9	4844	8
Krt36	1665	18
Map3k9	11890	442
Gm37013	4621	0
Rasgrp4	4630	282
Tmigd3	2597	4
Serpinb2	2047	172
Rara	4339	2049
Aldoa	1824	50582
Orc4	5170	1136
Tfpi	3780	906
Septin6	6697	730
1700092M07Rik	380	7
Gm3646	359	0
Ifi213	7823	13
Myc	2399	5883
Gpr137	2780	1195
Gm9112	457	0
Fut7	2064	20
Nfkb2	3292	3538
Dbn1	3047	3693
Klk11	1449	0
Ubr2	7748	5847
Gm6760	604	0
Cpeb2	7066	1147
Cypt15	518	0
4933403O08Rik	1520	0
Gm13547	629	0
Zfp971	4205	381
Spint3	554	0
Cebpzos	1513	196
Zfp967	3586	0
Zfp966	3586	0
Gm15319	2514	0
Usp35	4325	401
Epp13	930	1
Fbxw28	1839	0
Eid2b	2424	243
Mroh4	3549	37
Aldh3b2	2161	1
Tldc2	1151	8
Zfp516	7817	2996
Gm7030	899	2
Mymx	976	0
Gm15056	797	0
Defa35	403	0
Defa38	454	0
Gm11559	1096	0
Defa30	390	2
Defa41	282	0
Defa40	421	0
Plekhd1	3527	128
Gm6588	2313	0
Zkscan7	5018	236
Olfr743	936	0
4933402N22Rik	1108	4
Npffr1	4575	4
Gm7102	1624	0
Defa42	463	0
Defa32	427	0
Defa37	404	0
Defa28	285	0
Gml	894	0
EU599041	1428	0
Defa43	351	0
Zfp964	1740	27
Defa34	376	0
Esp6	660	0
Apol11a	1134	2
Gm15881	3253	0
Gm4340	1258	0
Prdm11	10921	120
Gm11562	807	0
Duxbl2	2146	0
Duxbl3	2146	0
Pramel29	1826	0
Gm2026	4539	0
H2ac23	552	0
Zfp600	4306	0
Trim61	2229	0
Bfar	4557	1687
Gng12	4363	4548
Slc10a1	2197	1685
Gm4027	998	0
Gm8300	1872	2
Otogl	9009	0
Zfp970	4664	1901
H2al2c	336	0
Zfp616	4808	0
Slc25a13	3122	1522
BB287469	1851	0
Gm2022	1822	4
Slc25a22	2959	2157
Odaph	759	247
Gm13871	1293	0
Gm10471	3342	0
Gm21953	412	0
Myocos	741	0
Esp23	646	0
Esp4	552	0
Esp8	901	0
Esp34	1413	0
Esp31	1311	0
Esp36	1117	0
Gm8882	916	0
Gm3985	2515	0
Slc8b1	2881	2814
0610010K14Rik	913	930
Ak4	5162	724
Ube2i	3377	5604
Arpp21	12429	8
Slc5a6	3889	820
Ect2	4117	2517
Slc2a6	2136	146
Slc45a3	3486	838
Grb10	5233	1161
Sirpa	4349	3352
Gm5886	647	0
H2bc6	2510	63
Grin1	4372	15
Mrpl15	4201	1471
Sptan1	8080	29170
Golph3l	2841	1902
Gpr68	3361	130
Gal3st1	2608	529
Ablim2	3761	247
Homez	5826	295
Arfgap1	3025	2942
Cyp26b1	4849	519
Gm2897	1978	2
Madd	6217	1950
Nr1h3	2036	788
Plch1	7011	1322
Gm10767	1652	27
Tsc22d1	5984	14092
Pfkfb3	5284	3592
Tnfaip8	3948	1398
Rex2	3998	2
Clcc1	3600	1571
Slco1c1	3210	1
Fbxw7	4751	996
H60b	951	30
Ahi1	5094	226
Dlg3	5637	497
Rfpl4b	1054	0
Snap23	2223	2057
Sertad4	3401	277
Rgs20	2513	26
Afap1l2	4075	108
Taf6l	2499	230
Eif2ak4	5248	1797
Rapgef3	3834	645
Wbp1l	4105	10188
Gm10324	1920	0
Smox	2262	1726
Otub2	3715	213
Frmd4a	7937	2261
Tirap	4868	1522
Asph	12476	3041
Olfr1053	943	0
Trim43c	1990	5
Sgo2a	5416	668
Gps1	2161	3009
Phka2	5776	2157
Mfap3l	6824	60
Elavl2	4757	0
Igsf5	2277	819
9830107B12Rik	3730	20
Rd3	4267	22
Zfp513	2476	1309
Eda	5111	96
Aamdc	893	309
Rpgr	6751	195
Gpm6b	5142	2056
Dcdc2c	3370	0
Naa10	1056	2030
4930480E11Rik	1486	0
Irak1	3955	5782
Acsm2	6738	2
Pde4b	6313	1058
Zmym3	6051	2390
Prdm16	8611	188
Sfxn3	3089	6497
Fmo6	1870	2
Txnrd3	2836	816
Tfdp2	7645	2889
Rhox3e	648	0
Sult2a5	1046	0
Sult2a7	1102	0
Rhox13	1254	0
Wnk1	12052	14770
Gm5885	648	0
Ins2	583	0
Zpbp	3845	6
Wdr53	1420	259
Vegfb	1282	1162
Zscan4b	1754	0
Pfdn6	719	1386
Snx7	2171	1581
Psrc1	1773	370
Nup35	2873	243
Nrg3	4036	0
Rps27rt	345	0
Mrps36	716	343
Gpr155	5022	324
Gm14326	3308	166
Clec4b1	784	14
Mfrp	4275	0
Clec4n	1245	1279
Chchd7	3066	478
Igll1	870	0
Ces2a	1964	1291
Frmd7	4708	20
Ccr6	2080	14
Ccm2	2104	1456
Tmem132b	7964	29
Gm4832	552	0
Naxd	1420	2119
Ankrd29	3256	129
Kcng2	2815	232
Adamtsl3	7285	292
Camta2	4947	2083
Olfr596	939	0
Caly	1627	0
Bend7	3837	444
Usp34	12200	4080
Amy2b	1413	0
Gas2l1	5403	2273
Magt1	4450	2690
Gne	5740	2135
Abhd11	1699	2020
Abcf2	2894	3601
Aamp	1820	3445
Faap20	1519	777
Ddc	2089	401
Ddah2	1350	1350
Dcn	2104	7550
Dctn2	1925	6532
Hilpda	1106	2870
Dact1	3761	152
Dapk3	1824	1859
Dmpk	2876	1588
Dlk1	4811	54
Dbf4	2444	1741
Dcaf12l1	3534	22
Gm20594	334	1
Dcun1d4	4326	1194
Ddx19b	6750	1590
Ddx55	2799	936
Dnajb11	3236	3960
Dnajc1	8583	2175
Jak3	4085	2593
Kat2b	4708	2199
Pdlim5	6812	10087
Kcne3	1718	782
Kcnip1	3243	10
Kirrel3	4908	352
Axl	5084	20994
Kif17	3915	30
Lancl1	4461	1080
Ndfip2	2482	2680
Lins1	5243	387
Lsm6	3801	1474
Sstr5	2733	0
Krtap22-2	380	0
Dync1i1	2802	5
Cypt14	508	0
Ddx43	2209	29
Lysmd4	3632	304
Mdga2	9834	0
Meis1	3441	499
BC048679	690	0
Lims1	5144	4852
Mical2	7370	4593
Morc4	4409	565
Cldn7	1453	1882
Prss51	1086	0
Galns	2586	1539
Cldn12	4076	3126
Gm13304	867	0
Gm1987	870	0
Gm10591	867	0
Cldn18	3120	1650
Dlc1	8475	1639
Kat7	5966	3124
Ndrg4	3374	636
Nploc4	4685	4595
Nuak2	3132	802
Pag1	8253	412
Abhd12b	1261	0
Acp4	1278	0
Ect2l	3610	0
Pak3	8988	471
Kcnmb3	720	0
Phc2	4357	6753
Plscr2	1900	697
Tmc8	2908	502
Ccer2	1050	0
Cfap73	921	0
3425401B19Rik	5547	674
Gm5294	651	0
Tex50	954	0
Nek10	3348	6
Pet100	1193	305
Gm3336	1152	93
Gfy	1877	0
Tgfbr3l	1075	150
Pdzd7	3903	71
Cbarp	3294	974
Tex13c1	2243	0
Fsd1l	9240	424
Kifc1	2322	959
Bbip1	2506	675
2300003K06Rik	919	0
Commd7	3288	1181
Cngb1	6686	7
H4c17	405	1
Islr	2355	586
Fam240b	1097	0
Fam240a	899	0
Srsf7	2748	3507
Dclk2	4196	91
Tpbgl	3037	108
Gm5741	328	11
Smpd5	1885	243
Lrrc3c	902	0
Trpc5os	3581	1
Smlr1	674	120
1700015G11Rik	388	0
Dcdc2a	8040	52
Arhgap32	11101	799
Epg5	11967	2450
Defa2	424	0
Rp1	12293	4
Ccdc170	5652	21
Prr22	1350	10
Nuggc	2566	14
Colca2	1263	79
Sgo2b	3739	0
Plscr5	1414	2
Tmem95	1198	65
Fam181a	1406	0
Gm5901	1183	0
Dcdc2b	1280	30
Alkal1	858	0
Rgs22	4008	6
S100a2	315	0
Lrrc74a	1949	0
Gprc5b	4525	4950
Pld5	3901	4
Unkl	5024	570
Vit	2720	33
Ccdc7a	1990	0
Cep43	3154	1098
Rcc1	2327	1324
Foxp1	7877	4083
H2-Q7	1536	0
Sulf1	4864	1488
Abi2	5974	760
Nrxn3	9442	34
Map7	4195	610
Postn	3406	12250
Aatk	6094	136
Ccpg1os	708	54
Ak1	2365	2031
AB124611	1307	304
Sfmbt2	9136	30
Frem1	9633	145
App	3357	37849
Ddr1	4075	6548
Coch	2683	8
Bcar1	3279	5460
Csrp3	973	3547
Ctbp1	2482	9457
Dctn1	4990	7704
Scgb2b7	517	0
Dync1i2	2787	5680
Adgrg1	3864	4544
Arhgef2	6355	6647
Myb	3777	22
Me1	3577	5143
Ralbp1	4340	3836
Gm7694	3833	635
Itsn2	6216	2457
BC049352	1679	12
Syk	5272	2449
Tcof1	4629	2737
Tjp2	5376	9240
Gm15097	1998	0
Gm15080	2029	0
Vdac3	1423	3214
Rgs7	2568	3
Golga5	2902	2044
Dcaf11	2703	4196
Slc7a9	1984	10
Angel2	3919	1567
Pla2g6	3725	1855
Lgals8	3020	2526
Prrc2a	6858	14029
Tubd1	2070	158
Zfp942	3275	527
Rabgef1	2888	1872
Wdr12	3376	798
Olfr1564	1091	0
4930522H14Rik	968	0
Trp53inp1	5432	3260
Slc29a1	3343	7610
Lpin3	3523	392
Ghitm	3313	8390
Spc25	1846	458
Macf1	23495	9994
Zmynd11	4747	4805
Gpsm1	3823	902
Sncaip	3984	72
Opa1	6002	4099
Slc44a2	3764	7760
Ascc1	1578	1030
Snx5	2620	6812
Eva1c	2936	1018
Asmt	1191	0
Serpinb12	1736	29
Slc38a3	2726	8415
Agbl1	3369	0
Osbpl5	4158	2120
Sptbn4	9085	37
Kcnip4	2959	31
Maged2	2516	2007
Kat5	2816	2019
Epb41l2	4517	5690
Aldoart1	2052	34
Slc19a1	2390	1311
Gopc	4317	1352
Mat2b	2258	2510
Tnip1	3049	2829
Slc43a2	7232	1589
Tex14	4888	16
Acly	4427	9389
Cacng5	3834	0
Atxn1	10607	961
Sult2a8	2243	12
Gm14440	3382	1
Gm4559	600	0
Cldn34a	636	0
Zfp94	2660	91
AI987944	2931	448
Gm20822	687	0
Gm20877	1212	0
Mup18	887	0
Gm10229	570	0
Scgb2b19	527	0
Apoo	1261	131
Foxp3	3928	71
Cd99l2	3600	2164
Rpl34-ps1	413	0
Pnck	1676	39
Tmem164	7018	3054
Dnmt1	6325	3702
4931406C07Rik	2981	1653
Ei24	2376	2609
AW551984	4448	50
Pkn1	3538	4180
Fbxl13	2630	7
Camkk2	4889	1983
Vps37d	1544	101
Adgrb2	5497	67
Daxx	2874	1484
Topaz1	5177	0
Zfp839	3725	761
Olfr1354	1095	0
Ift43	809	934
Gask1a	3723	20
Mup16	881	0
Serpina3i	2193	105
Serpine3	1402	4
Pate1	389	0
Ankrd60	1102	0
Gm9839	1437	0
Ccl27b	1085	0
Gm2506	819	0
Gm11127	1344	62
Tac2	884	6
Tti2	5079	713
Mup12	883	0
4933402E13Rik	2025	0
Mup14	926	0
Tmppe	6856	1004
Mup15	889	0
Mup17	886	0
1700013H16Rik	1224	0
Zfp963	2291	153
Pttg1ip2	710	0
Olfr612	972	0
Pifo	1127	0
Rubcn	5810	2972
Sbk3	3152	26
Gm16513	2901	0
4930415O20Rik	566	7
Krt83	1757	0
2410004P03Rik	1798	14
Msi2	6853	3163
Samt1b	984	0
Gm10662	1724	0
Tmem200b	1370	78
Ccdc136	4153	86
Nat8f6	1373	0
E330021D16Rik	1811	0
Hbb-bs	639	0
Cldn34d	1003	0
Apbb2	6937	2704
H2-Q9	1521	0
Papss2	3796	2284
Atp9b	5432	4150
Mapk8ip1	3461	302
Armcx4	9011	429
Crisp2	1469	8
C1qtnf1	4519	1805
C1qtnf3	2569	270
C1qtnf6	2428	1754
Rapgef4	7896	1045
Spp1	1658	115108
Clec12b	1621	2
Clec16a	6244	1320
Clec1b	1170	68
Clec4a3	1330	302
Clec10a	1501	335
Hdac7	5216	5121
Cyp4f14	2420	254
Gucy1b2	2717	16
Oprk1	4707	0
Kcnj11	3252	854
Sprr3	1222	0
Myadml2	2307	144
Set	3101	10462
4930558K02Rik	1164	0
Recql	4782	632
Zfp648	3644	0
Ifi207	3483	857
Ptrhd1	4027	280
Gm20172	1551	0
Reep2	1926	54
Reep3	5550	4528
H60c	2817	0
Reep6	2016	3858
Retn	1286	0
Brd2	5025	11588
Sars	3704	8771
Cep85l	7361	656
Gm2696	783	0
Mptx2	694	0
Jagn1	1260	1133
Gm11568	1144	0
Gm19402	854	0
Gm10100	397	0
Gm19668	805	0
Gm10142	399	0
Eef1akmt3	699	9
Gm11544	1357	4
Jarid2	6158	1313
Acr	1567	20
Jdp2	1881	825
Gm14295	1311	60
Jkamp	1976	1164
Jmjd4	4445	453
Josd2	1180	533
Pnoc	2157	0
Jph2	4255	784
Trim47	2195	2038
Scarb1	3100	3631
Tbx20	6892	280
Ssxa1	493	0
Zfp994	4880	237
Npy2r	3361	0
Ssxb6	522	0
Yes1	4608	1432
Yipf1	1322	1123
Yipf2	2177	586
Iffo2	6214	2728
Abhd4	2698	3886
Ppp2r2a	4108	2873
Astn1	7224	0
Rxrb	2768	2351
Sorbs2	6867	13271
Cnot1	8914	8565
Cyb5r2	2772	27
U2af2	2202	5812
Nrxn2	6663	106
Arhgap27	5626	3317
Parp6	2714	1227
Kat6b	7337	1725
Fasl	1934	2
Gal3st2b	1185	0
Thsd1	4430	286
Gm14781	1360	0
Gm14496	2550	0
Tmem39a	2934	1179
Slc12a3	3299	9
Tyk2	4873	1835
Stat1	5356	1105
Scn10a	6420	0
Prl3d1	878	0
Map4	10320	10538
Arap3	5499	2238
Psat1	2491	5016
Ppfia2	6809	2
Papln	4375	50
Sun2	3809	5753
Lipk	2240	0
Gramd4	4447	4576
Dcun1d1	4745	1102
Clec9a	3294	70
Septin7	3238	5223
Golm2	4354	446
Actr3	2746	12299
Atg16l1	3180	1793
Gprc5d	1385	2
Fam234a	2879	4000
Gsn	3031	23129
Mavs	3189	2230
Tmem200c	3213	0
2610528A11Rik	756	24
Smim18	587	0
Usp44	4149	9
Olfr426	949	0
Shisa8	1804	29
Fignl2	4208	244
Gm16404	650	0
Gm14625	650	0
Rnf223	1541	17
Spx	1579	47
Ano1	4585	9140
Trnt1	3539	837
Fam160a2	10986	1945
F10	2693	2862
Gon4l	7584	2036
Slc4a10	5786	4
Zfp976	5011	109
Trip10	2458	4005
Jmjd1c	9117	3879
Miga2	3649	1327
Susd6	5065	4578
Otulinl	3068	379
Slc37a1	3623	3091
Ammecr1l	5353	1753
Ncoa6	6872	3636
Nit1	1374	1042
Fam187b	2673	104
Gm7903	3836	0
Gm3317	1743	0
Zfp973	1335	0
Zfp965	1295	0
Gm3264	2008	0
H2al1b	490	0
H2al1c	318	0
H2al1d	318	0
H2al1f	318	0
H2al1g	509	0
H2al1h	442	0
H2al1i	318	0
Btbd35f3	1949	0
Spin2d	1015	0
Aadacl2fm3	1206	0
Col6a3	10841	7715
Btbd35f16	1960	0
Btbd35f15	1960	0
Samt1c	986	0
Samt1d	984	0
Zfp939	2494	135
Btbd35f27	1943	0
Gm16445	971	0
Gm4070	9036	0
Adk	1952	4123
Ap1b1	4543	4143
Dlg2	8022	41
Arntl	2929	958
Atp6v0a1	4754	6840
Bcat2	2045	2274
Nr1i3	1414	1184
Cav1	2767	8700
Zfp433	2532	0
Sema3a	7288	860
Cep57l1	2387	162
A630095N17Rik	767	2
Gm3776	874	237
Gm11837	1028	5
AI182371	2892	1027
Gm6408	1191	0
Gm3404	1130	0
Gm6370	1162	0
Gm3402	1154	0
Gm3409	1154	0
Gm3415	1177	0
2010315B03Rik	2759	353
Fam193a	5541	1981
Tspan2	4362	754
Zfp981	3191	0
Gm13286	549	0
Gm13290	968	0
Alg11	4964	1293
Gm13289	968	0
Gm13279	968	0
Gm13288	2850	0
Gimap4	1810	230
Rgsl1	3745	6
4930444P10Rik	1844	0
Cacfd1	3474	1291
Gm4791	1021	0
Lactbl1	1954	0
Ccdc85b	4401	1667
Mif4gd	1840	1420
Itch	5389	2908
C87436	3198	711
Rassf1	2130	958
Ciita	5997	365
Clcn5	4353	1218
Cdc42	3004	10835
Esrrg	5933	160
C7	2709	81
Fam124a	3557	245
BC024978	2756	209
Gm14322	4057	36
Zfp383	2620	265
Trim34b	1535	6
Pramel42	2064	0
Btg1b	825	0
Vmn1r90	930	0
Pax6	4761	2
B4galnt1	3289	4154
5430401F13Rik	602	0
Gm8765	3109	0
Esp15	1169	2
Gm9573	5231	4
Gm10377	847	0
St18	6161	32
Faiml	785	0
Esp18	1257	0
Celf1	7965	7712
Sall2	5336	384
Col25a1	7481	16
Lcp1	4337	4326
Zkscan8	8899	972
A630023A22Rik	1334	2
Ms4a18	1385	0
Ggnbp1	1784	368
Gm38425	1688	0
Esp3	1316	0
Ly6c1	1645	874
Cacna1a	7929	673
Gga3	3681	1126
Dnah7a	12272	0
Greb1	8260	40
Hs3st4	3230	0
Zswim8	6073	5800
Zfp384	3665	2436
Rbmxl1	2391	1372
Etfbkmt	1690	1027
Cadps2	6043	246
Tmem106c	1635	1152
Epn2	5960	4807
Eya1	4345	64
Amz2	3082	1475
Map4k4	5974	13093
Kcnj16	4027	10
Rpl31	1253	7861
Nbr1	5133	5875
Nf2	5298	2165
Npm1	1718	19486
Ica1	2075	658
Ogdh	7106	11281
Mest	2777	317
Tafa5	2908	93
Ncor1	11144	6898
Shmt2	2305	4059
Pan2	4453	2665
Slc6a15	3774	0
Septin8	6080	3645
Syt1	5192	20
Rundc3a	3050	234
