Geneid	Length	genome_mapping/135-P_R1.rn6.sorted.bam
Olr157	990	0
Olr159	966	0
Olr163	966	0
Olr165	969	0
Olr167	960	0
Olr168	960	0
Olr170	966	0
Olr171	951	0
Olr172	957	0
Olr176	957	0
Olr178	939	0
Olr180	951	0
Olr183	942	0
Olr184	954	0
Olr185	954	0
Olr189	942	0
Olr190	948	0
Olr193	916	0
Olr196	951	0
Olr197	954	0
Olr200	966	2
Olr201	945	0
Olr203	948	0
Olr204	948	0
Olr206	948	0
Olr208	951	0
Olr210	951	0
Olr211	927	1
Olr214	951	0
Olr215	948	0
Olr217	951	0
Olr221	924	0
Olr222	933	0
Olr223	951	0
Olr227	954	0
Olr229	945	0
Olr230	954	0
Olr231	948	0
Olr233	948	0
Olr234	945	0
Olr235	939	0
Olr237	945	0
Olr239	939	0
Olr242	933	0
Olr244	945	0
Olr245	984	0
Olr246	939	0
Olr247	945	0
Olr251	945	0
Olr252	972	0
Olr263	945	0
Olr262	957	0
Olr259	942	0
Olr285	936	0
Olr282	981	0
Olr281	945	0
Olr279	945	0
Olr276	945	0
Olr267	945	0
Olr270	945	0
Olr272	945	0
Olr288	957	0
Olr292	918	0
Olr295	933	0
Olr297	924	0
Olr298	912	0
Olr299	930	0
Olr300	924	0
Olr302	933	1
Olr303	924	0
Olr305	933	0
Olr307	933	0
Olr309	933	0
Olr315	933	0
Olr321	933	0
Olr323	936	0
Olr324	936	0
Olr325	945	0
Olr326	954	0
Olr327	966	0
Olr332	960	0
Olr329	942	0
Olr338	939	0
Olr340	945	0
Olr343	945	0
Olr346	927	0
Olr352	924	0
Olr357	948	0
Olr371	942	0
Olr375	960	0
Olr376	948	0
Olr379	936	0
Olr383	948	0
Olr384	951	0
Olr1768	939	1
Olr1671	939	0
Olr1668	939	0
Olr1673	939	0
Olr1683	939	0
Olr1684	942	0
Olr1704	939	0
Olr1695	966	0
Olr1691	972	0
Olr1690	972	0
Olr1688	1005	0
Olr1708	915	0
Olr1724	923	0
Olr1730	954	0
Olr439	930	0
Olr440	946	0
Olr441	945	0
Olr442	948	0
Olr443	945	0
Olr447	945	0
Olr448	957	0
Olr450	939	0
Olr453	945	0
Olr454	936	0
Olr455	936	0
Olr458	939	0
Olr459	930	0
Olr461	936	0
Olr462	933	0
Olr464	954	0
Olr465	948	0
Olr466	936	0
Olr469	924	0
Olr470	975	0
Olr472	984	0
Olr473	933	0
Olr476	966	0
Olr477	960	0
Olr479	942	0
Olr484	948	0
Olr485	951	0
Olr488	927	0
Olr493	942	0
Olr495	948	0
Olr502	942	0
Olr510	933	0
Olr513	936	0
Olr514	942	0
Olr515	966	0
Olr516	936	0
Olr517	993	0
Olr519	969	0
Olr528	942	0
Olr539	939	0
Olr540	939	0
Olr550	939	0
Olr554	951	0
Olr558	921	0
Olr560	981	0
Olr567	927	0
Olr575	930	0
Olr576	927	0
Olr588	945	0
Olr592	936	0
Olr597	933	0
Olr598	933	0
Olr602	939	0
Olr607	951	0
Olr609	951	0
Olr610	946	0
Olr614	951	0
Olr619	972	0
Olr631	921	0
Olr639	942	0
Olr651	927	0
Olr655	930	0
Olr657	933	0
Olr658	930	0
Olr659	930	0
Olr663	936	0
Olr664	936	0
Olr668	936	0
Olr669	936	0
Olr672	915	0
Olr674	936	0
Olr678	936	0
Olr679	936	0
Olr686	936	0
Olr687	933	0
Olr694	927	0
Olr703	948	0
Olr713	945	0
Olr718	945	0
Olr721	912	0
Olr728	930	0
Olr731	909	0
Olr748	939	0
Olr750	912	0
Olr752	933	0
Olr754	918	0
Olr758	939	0
Olr769	939	0
Olr770	939	0
Olr773	939	0
Olr775	939	0
Olr781	963	0
Olr783	939	0
Olr789	939	0
Olr792	951	0
Olr400	930	0
Olr397	930	0
Olr403	924	0
Olr404	939	0
Olr406	936	0
Olr408	939	0
Olr411	942	0
Olr415	948	0
Olr416	936	0
Olr417	954	0
Olr420	927	0
Olr422	954	0
Olr423	987	0
Olr424	993	0
Olr425	954	0
Olr428	936	0
Olr429	930	0
Olr434	984	0
Olr853	939	0
Olr852	951	0
Olr851	960	0
Olr850	951	0
Olr848	954	0
Olr847	954	0
Olr845	954	0
Olr841	953	0
Olr836	960	0
Olr834	939	0
Olr833	951	0
Olr855	948	0
Olr865	948	0
Olr866	948	0
Olr867	948	0
Olr869	948	0
Olr840	960	0
Olr839	957	0
Olr1095	957	0
Olr1087	942	0
Olr1086	963	0
Olr1085	933	0
Olr1075	960	0
Olr1106	930	0
Olr1107	927	2
Olr1111	933	0
Olr1124	939	0
Olr1139	975	0
Olr1130	939	0
Olr1145	918	0
Olr1147	939	0
Olr1151	918	0
Olr1155	939	0
Olr1169	957	0
Olr1196	933	0
Olr1198	928	0
Olr1204	945	0
Olr1214	933	0
Olr1217	933	0
Olr1222	939	0
Olr1223	942	0
Olr1226	942	0
Olr1227	933	0
Olr1229	942	0
Olr1232	933	0
Olr1234	942	0
Olr1235	942	0
Olr1240	933	0
Olr1241	933	0
Olr1242	936	0
Olr1243	933	0
Olr1248	933	0
Olr1251	930	0
Olr1252	933	0
Olr1259	948	0
Olr1264	936	0
Olr1265	954	0
Olr1273	936	0
Olr1285	945	0
Olr1293	945	0
Olr1297	945	0
Olr1301	945	0
Olr1302	945	0
Olr1304	936	0
Olr1306	939	0
Olr1309	945	1
Olr1311	945	0
Olr1314	918	0
Olr1315	936	0
Olr1319	939	0
Olr1320	939	0
Olr1323	936	0
Olr1325	924	0
Olr1326	939	0
Olr1327	936	0
Olr1330	930	0
Olr1332	939	0
Olr1334	936	0
Olr1335	933	0
Olr1337	954	0
Olr1339	945	0
Olr1341	939	0
Olr1344	936	0
Olr1349	960	0
Olr1096	951	0
Olr959	942	0
Olr962	945	0
Olr1218	933	0
Olr1765	939	0
Olr1766	933	0
Olr1767	924	0
Olr1751	939	0
Olr1356	939	0
Olr1369	942	0
Olr1504	939	0
Olr1533	921	0
Olr878	930	0
Olr1065	939	0
Olr1576	930	0
Olr1595	948	0
Olr1596	966	0
Olr1606	954	0
Olr1637	996	5
Olr37	966	0
Olr318	957	1
Olr319	930	1
Olr337	957	0
Olr1687	966	0
Olr1709	939	0
Olr1733	930	0
Olr561	972	0
Olr601	954	0
Olr698	948	0
Olr725	933	0
Olr856	939	0
Olr1121	942	0
Olr1280	960	0
Olr1283	1053	0
Olr1307	936	0
Olr1346	972	0
Olr1619	936	0
Olr1069	945	0
Olr1381	942	0
Olr1393	936	0
Olr1433	984	0
Olr1457	927	0
Olr1481	937	0
Olr1509	936	0
Olr1525	963	0
Olr1538	924	0
Olr1542	927	0
Olr1568	939	0
Olr1581	933	0
Olr1607	948	0
Olr1643	927	0
Olr1657	939	0
Olr1667	945	1
Olr1l	975	0
Olr6	939	0
Olr12	924	0
Olr43	951	0
Olr63	954	10
Olr87	939	0
Olr142	945	0
Olr145	945	0
Olr152	942	0
Olr154	954	0
Olr158	960	0
Olr192	939	0
Olr202	969	0
Olr218	951	0
Olr220	915	0
Olr224	945	0
Olr286	939	1
Olr311	933	0
Olr361	933	0
Olr1693	963	0
Olr390	963	0
Olr395	939	0
Olr399	924	0
Olr482	945	0
Olr522	948	0
Olr532	966	0
Olr536	933	0
Olr541	939	0
Olr542	939	0
Olr577	939	0
Olr578	933	0
Olr690	936	0
Olr705	921	0
Olr710	945	0
Olr722	930	0
Olr724	921	0
Olr729	927	0
Olr741	927	0
Olr742	918	0
Olr744	924	0
Olr745	930	0
Olr777	939	0
Olr791	939	0
Olr838	957	0
Olr854	942	2
Olr857	948	0
Olr858	939	0
Olr859	948	0
Olr879	939	0
Olr916	954	0
Olr927	963	0
Olr960	942	0
Olr987	960	0
Olr1070	960	0
Olr1081	954	0
Olr1091	936	0
Olr1193	963	6
Olr1230	942	0
Olr1257	936	0
Olr1294	936	0
Olr1295	945	0
Olr1328	924	0
Olr796	936	0
Olr795	939	0
Olr788	939	0
Olr785	963	0
Olr784	939	0
Olr782	939	0
Olr780	939	0
Olr778	927	0
Olr776	939	0
Olr772	939	0
Olr771	945	0
Olr767	939	0
Olr757	936	0
Olr756	918	0
Olr749	939	0
Olr737	927	0
Olr734	930	0
Olr733	930	0
Olr727	930	0
Olr726	873	0
Olr717	951	0
Olr716	954	0
Olr715	924	0
Olr712	954	0
Olr711	945	0
Olr704	924	0
Olr701	918	0
Olr695	936	0
Olr693	918	0
Olr691	951	0
Olr681	936	0
Olr675	936	0
Olr670	936	0
Olr665	936	0
Olr660	924	0
Olr654	930	0
Olr653	930	0
Olr652	930	0
Olr650	927	0
Olr649	936	0
Olr648	936	0
Olr646	921	0
Olr641	909	0
Olr640	930	0
Olr636	942	0
Olr635	930	0
Olr634	942	0
Olr633	912	0
Olr625	936	0
Olr624	915	0
Olr623	837	0
Olr621	912	0
Olr613	933	0
Olr608	981	0
Olr604	957	0
Olr594	936	0
Olr590	933	0
Olr587	936	0
Olr586	936	0
Olr584	939	0
Olr582	933	0
Olr581	939	0
Olr569	930	0
Olr566	945	0
Olr563	945	0
Olr562	957	0
Olr559	945	0
Olr557	1023	0
Olr551	938	0
Olr537	939	0
Olr535	942	0
Olr533	936	0
Olr529	945	0
Olr527	948	0
Olr518	951	0
Olr508	942	0
Olr507	942	0
Olr505	942	0
Olr500	954	0
Olr496	942	0
Olr486	960	0
Olr483	960	0
Olr481	945	0
Olr480	942	0
Olr475	933	0
Olr456	915	0
Olr436	930	0
Olr34	939	20
Olr32	1008	0
Olr29	1008	0
Olr25	993	0
Olr24	942	0
Olr16	951	0
Olr14	942	0
Olr1845	953	0
Olr1067	948	0
Olr1060	957	0
Olr1014	945	0
Olr996	936	0
Olr982	936	0
Olr954	954	0
Olr931	939	0
Olr922	945	0
Olr906	938	0
Olr877	939	0
Olr876	939	0
Olr1084	933	0
Olr1083	933	0
Olr1079	933	0
Olr1076	957	0
Olr1523	910	0
Olr1520	936	0
Olr1501	936	0
Olr1496	933	0
Olr1491	939	0
Olr1490	939	0
Olr1488	939	0
Olr1486	939	0
Olr1479	936	0
Olr1471	934	0
Olr1470	945	0
Olr1468	945	0
Olr1558	948	0
Olr1555	930	0
Olr1551	930	0
Olr1541	930	0
Olr1539	921	0
Olr278	945	0
Olr271	945	0
Olr268	945	0
Olr241	933	0
Olr213	927	0
Olr209	951	0
Olr164	966	0
Olr160	969	0
Olr150	933	0
Olr125	960	0
Olr111	948	0
Olr110	966	0
Olr101	951	0
Olr89	951	0
Olr88	948	0
Olr86	939	0
Olr60	963	0
Olr57	945	0
Olr1353	1002	0
Olr1351	960	0
