"id","UniqueID","Gene.Name","Protein.ID","GeneType"
112,"RP23-228O9.3","RP23-228O9.3","","protein_coding"
113,"Gm22607","Gm22607","","protein_coding"
114,"Mcmdc2","Mcmdc2","","protein_coding"
115,"Snhg6","Snhg6","","protein_coding"
116,"Snord87","Snord87","","protein_coding"
117,"Tcf24","Tcf24","","protein_coding"
118,"RP23-228G18.3","RP23-228G18.3","","protein_coding"
119,"Ppp1r42","Ppp1r42","","protein_coding"
120,"AC102570.3","AC102570.3","","protein_coding"
121,"Gm24674","Gm24674","","protein_coding"
122,"Cops5","Cops5","","protein_coding"
123,"Cspp1","Cspp1","","protein_coding"
124,"RP23-228G18.5","RP23-228G18.5","","protein_coding"
125,"Arfgef1","Arfgef1","","protein_coding"
126,"Gm26348","Gm26348","","protein_coding"
127,"RP24-327F2.1","RP24-327F2.1","","protein_coding"
128,"Cpa6","Cpa6","","protein_coding"
129,"RP23-418C16.1","RP23-418C16.1","","protein_coding"
130,"AC102469.1","AC102469.1","","protein_coding"
131,"Gm25253","Gm25253","","protein_coding"
132,"AC102426.1","AC102426.1","","protein_coding"
133,"RP24-88A10.2","RP24-88A10.2","","protein_coding"
134,"RP24-88A10.1","RP24-88A10.1","","protein_coding"
135,"RP24-467J24.1","RP24-467J24.1","","protein_coding"
136,"Gm22963","Gm22963","","protein_coding"
137,"Prex2","Prex2","","protein_coding"
138,"Gm24173","Gm24173","","protein_coding"
139,"RP24-427A3.1","RP24-427A3.1","","protein_coding"
140,"RP23-366M5.2","RP23-366M5.2","","protein_coding"
141,"AC103635.1","AC103635.1","","protein_coding"
142,"RP23-2K13.1","RP23-2K13.1","","protein_coding"
143,"RP24-467J24.2","RP24-467J24.2","","protein_coding"
144,"RP24-239K20.1","RP24-239K20.1","","protein_coding"
145,"RP23-334J7.1","RP23-334J7.1","","protein_coding"
146,"Gm22633","Gm22633","","protein_coding"
147,"Mir6341","Mir6341","","protein_coding"
148,"RP23-138D5.1","RP23-138D5.1","","protein_coding"
149,"RP24-331K22.1","RP24-331K22.1","","protein_coding"
150,"RP24-331K22.3","RP24-331K22.3","","protein_coding"
151,"RP24-331K22.2","RP24-331K22.2","","protein_coding"
152,"Sulf1","Sulf1","","protein_coding"
153,"Slco5a1","Slco5a1","","protein_coding"
154,"RP24-178B14.2","RP24-178B14.2","","protein_coding"
155,"RP24-178B14.3","RP24-178B14.3","","protein_coding"
156,"RP24-178B14.1","RP24-178B14.1","","protein_coding"
157,"Prdm14","Prdm14","","protein_coding"
158,"Ncoa2","Ncoa2","","protein_coding"
159,"RP23-93D12.2","RP23-93D12.2","","protein_coding"
160,"RP23-93D12.1","RP23-93D12.1","","protein_coding"
161,"Gm27881","Gm27881","","protein_coding"
162,"RP23-125I14.4","RP23-125I14.4","","protein_coding"
163,"RP23-125I14.3","RP23-125I14.3","","protein_coding"
164,"Gm23169","Gm23169","","protein_coding"
165,"RP23-125I14.2","RP23-125I14.2","","protein_coding"
166,"RP23-125I14.1","RP23-125I14.1","","protein_coding"
167,"RP23-125I14.5","RP23-125I14.5","","protein_coding"
168,"RP23-125I14.6","RP23-125I14.6","","protein_coding"
169,"Tram1","Tram1","","protein_coding"
170,"Lactb2","Lactb2","","protein_coding"
171,"RP23-70F22.2","RP23-70F22.2","","protein_coding"
172,"Xkr9","Xkr9","","protein_coding"
173,"Gm26273","Gm26273","","protein_coding"
174,"RP23-70F22.1","RP23-70F22.1","","protein_coding"
175,"RP23-74B7.1","RP23-74B7.1","","protein_coding"
176,"Gm25491","Gm25491","","protein_coding"
177,"RP24-335B5.1","RP24-335B5.1","","protein_coding"
178,"Eya1","Eya1","","protein_coding"
179,"Gm22616","Gm22616","","protein_coding"
180,"RP24-291C20.1","RP24-291C20.1","","protein_coding"
181,"RP24-356G6.1","RP24-356G6.1","","protein_coding"
182,"Msc","Msc","","protein_coding"
183,"RP23-398C14.1","RP23-398C14.1","","protein_coding"
184,"Smt3h2-ps4","Smt3h2-ps4","","protein_coding"
185,"Rpl5-ps1","Rpl5-ps1","","protein_coding"
186,"Trpa1","Trpa1","","protein_coding"
187,"Gm26345","Gm26345","","protein_coding"
188,"RP23-143L15.1","RP23-143L15.1","","protein_coding"
189,"Kcnb2","Kcnb2","","protein_coding"
190,"RP23-445B17.1","RP23-445B17.1","","protein_coding"
191,"RP24-66C10.4","RP24-66C10.4","","protein_coding"
192,"Gm25227","Gm25227","","protein_coding"
193,"Gm25168","Gm25168","","protein_coding"
194,"RP23-325F17.2","RP23-325F17.2","","protein_coding"
195,"RP23-325F17.1","RP23-325F17.1","","protein_coding"
196,"Terf1","Terf1","","protein_coding"
197,"RP23-325F17.4","RP23-325F17.4","","protein_coding"
198,"Sbspon","Sbspon","","protein_coding"
199,"Gm23259","Gm23259","","protein_coding"
200,"RP24-178O17.1","RP24-178O17.1","","protein_coding"
201,"AC162442.2","AC162442.2","","protein_coding"
202,"Rpl7","Rpl7","","protein_coding"
203,"Rdh10","Rdh10","","protein_coding"
204,"RP24-178O17.2","RP24-178O17.2","","protein_coding"
205,"RP24-73D23.1","RP24-73D23.1","","protein_coding"
206,"Stau2","Stau2","","protein_coding"
207,"AC167117.2","AC167117.2","","protein_coding"
208,"Ube2w","Ube2w","","protein_coding"
209,"RP23-382H8.2","RP23-382H8.2","","protein_coding"
210,"Eloc","Eloc","","protein_coding"
211,"RP23-382H8.4","RP23-382H8.4","","protein_coding"
212,"RP23-382H8.5","RP23-382H8.5","","protein_coding"
213,"Tmem70","Tmem70","","protein_coding"
214,"Ly96","Ly96","","protein_coding"
